id,external_id,sku,mpn,mpn_normalized,manufacturer,name,status
67,КА-00000031,,,,,"Эл. питания PANASONIC Lithium CR123LA BL.1, производство Индонезия",active
77,КА-00000046,,,,,Аккумулятор Panasonic NCR18650B- 3350mAh-6.7A;страна происхождения Япония,active
136,КА-00000109,,,,,"Ионистор EECS0HD334V (Panasonic) terminal V, 0.33F, 5.5V /Япония/",active
229,КА-00000205,,,,Panasonic,Panasonic eneloop BK-4MCCE / AAA,active
449,КА-00000428,,,,,Элемент питания BR-C BR26505 (Panasonic) с лепестками,active
630,КА-00000611,,,,,Аккумулятор Panasonic NCR18650B- 3350mAh-6.7A; СЗ страна происхождения Япония,active
999,КА-00000981,,,,,"Аккумулятор Panasonic 2 NCR18650BD- 3200mAh 7,4V;страна ввоза Китай",active
1078,КА-00001063,,12FGH23,12fgh23,FIAMM,"Аккумуляторная батарея FIAMM 12FGH 23 12V 5 Ah slim, Вьетнам",active
1083,КА-00001068,,,,,"Эл.питания PANASONIC Lithium CR123LA BL.1, производство Индонезия",active
1266,КА-00001256,,,,,"Аккумулятор 5 HHR-120AAB PANASONIC 6V 1200mAh,стр. ввоза Россия",active
1313,КА-00001305,,,,,PANASONIC NCR18650B 3350mAh Аккумулятор.Производство: Япония,active
1319,КА-00001311,,,,Panasonic,"Литиевая батарея Panasonic 2CR5, 6 В",active
1376,КА-00001369,,,,,"PANASONIC 6*NCR18650B 3350mAh 11,1V (40A) Аккумулятор.Производство: Япония",active
1449,КА-00001442,,,,,Аккумулятор Li-Ion PANASONIC NCR18650GA 3450mAh( с выводами 4*0.2*20мм),active
1450,КА-00001443,,,,Panasonic,Panasonic NCR18650GA,active
1479,КА-00001472,,,,Panasonic,Panasonic 2CR5,active
1492,КА-00001485,,,,,Аккумулятор Li-Ion PANASONIC NCR18650B 3350mAh( с выводами 4*0.2*20мм),active
1554,КА-00001549,,,,,"Аккумулятор Panasonic NCR18650BD-S3200mAh-10A;страна происхождения Корея,Сеул",active
1596,КА-00001591,,,,,Элемент питания литиевый PANASONIC BR-2/3AGCT4A (Ч) /Китай/,active
1597,КА-00001592,,,,,Эл. питания литиевый PANASONIC BR-2/3AGCT4A (К) /Китай/,active
1661,КА-00001656,,,,,Аккумуляторная батарея FIAMM 12FIT60-108,active
1837,КА-00001835,,,,,"Аккумулятор Panasonic 6*NCR18650BD- 6400mAh 11,1V (40A);страна происхождения Корея,Сеул",active
1856,КА-00001855,,,,,Fiamm 12FGL55 аккумуляторная батарея,active
2278,КА-00002293,,,,Panasonic,Panasonic BR1632A,active
2510,КА-00002532,,,,Panasonic,"Высокотемпературная литиевая батарейка Panasonic BR1632A, 3 В",active
2530,КА-00002552,,,,,Аккумулятор Panasonic Eneloop Ni-MH BK-4LCCE/2BE 550mAh AAA BL.4; Страна происхождения - ЯПОНИЯ,active
2651,КА-00002675,,,,,Эл. питания литиевый PANASONIC BR2330 /F3N 3V Производство: Япония,active
2761,КА-00002786,,,,,"Аккумулятор 3Panasonic NCR18650BD- 3200mAh-10A;страна происхождения Корея,Сеул",active
2949,КА-00002974,,,,,Батарейки Panasonic LR41 (BL10),active
3031,КА-00003056,,,,,Эл. питания литиевый PANASONIC BR2330 /FAN 3V Производство: Япония,active
3065,КА-00003091,,,,,"Эл. питания литьевый PANASONIC 2*CR123A, производство Индонезия",active
3071,КА-00003097,,,,,"Эл. питания литьевый PANASONIC CR123A,2 PF,производство Индонезия",active
3075,КА-00003101,,,,,Panasonic 2300mah,active
30,КА-00003136,,4SLA150,4sla150,FIAMM,Аккумуляторная батарея FIAMM 4SLA150,active
3115,КА-00003142,,BR2032,br2032,Panasonic,Panasonic BR2032,active
3174,КА-00003223,,ML-1220/F1AN,ml1220f1an,Panasonic,Panasonic ML-1220/F1AN,active
3194,КА-00003245,,,,Panasonic,"Литиевая батарейка Panasonic BR1225, 3 В",active
3196,КА-00003247,,,,,Батарейка PANASONIC  BR-2GCF2W Произ-во: Китай Ввоз: Литва,active
3221,КА-00003272,,,,,"Аккумулятор Panasonic NCR18650BD СЗ- 3200mAh-10A;страна происхождения Корея,Сеул",active
3268,КА-00003320,,,,,"Эл. питания литьевый PANASONIC  4*CR123A, 6V производство Индонезия",active
3615,КА-00003675,,,,,"Аккумулятор СЗ Panasonic NCR18650BD- 3200mAh-10A;страна происхождения Корея,Сеул",active
3647,КА-00003708,,,,,Эл. питания литиевый PANASONIC BR-2/3AGCT4A (Ч) с коннектором /Китай/,active
3752,КА-00003815,,,,,Батарейка литиевая PANASONIC BR1225A/HBN 3V 48mAh /Китай,active
3785,КА-00003848,,12FIT60,12fit60,FIAMM,"Аккумуляторная батарея FIAMM 12FIT60, 12 В 60 А·ч",active
27,КА-00003889,,6SLA125,6sla125,FIAMM,Аккумуляторная батарея FIAMM 6SLA125,active
3925,КА-00003990,,,,,Аккумулятор свинцовый FIAMM 12FGL42 (12V 42ah)/Китай,active
3927,КА-00003992,,,,,Батарейка Panasonic BR2/3AH 3V с выводами Китай/,active
3928,КА-00003993,,,,Panasonic,"Литиевая батарейка Panasonic BR-2/3A, 3 В",active
33,КА-00004091,,12FIT180,12fit180,FIAMM,Аккумуляторная батарея FIAMM 12FIT180,active
26,КА-00004114,,6SLA100,6sla100,FIAMM,Аккумуляторная батарея FIAMM 6SLA100,active
4071,КА-00004138,,,,,Батарейка Panasonic BR1/2AAE2PN /Китай/,active
4182,КА-00004249,,,,,Аккумулятор Fiamm 12FIT60 /Китай/,active
4230,КА-00004297,,,,,Аккумулятор Panasonic NCR18650BD- 2980mAh-10A /Китай/,active
4248,КА-00004315,,,,Panasonic,"Литиевая батарейка Panasonic BR-2/3A, 3 В",active
4249,КА-00004316,,,,Panasonic,"Литиевая батарейка Panasonic BR-2/3A, 3 В",active
4277,КА-00004345,,,,,Батарейка Panasonic (PLC GE Fanuc 1S) / Китай /,active
4309,КА-00004377,,BR2330,br2330,Panasonic,Эл. питания литиевый PANASONIC BR2330 3V Производство: Япония,active
4369,КА-00004438,,,,,Батарейка Panasonic BR2/3AE2SPN,active
4371,КА-00004440,,,,Panasonic,"Литиевая батарейка Panasonic BR-2/3A, 3 В",active
4372,КА-00004441,,,,Panasonic,"Литиевая батарейка Panasonic BR-2/3A, 3 В",active
4373,КА-00004442,,,,Panasonic,"Литиевая батарейка Panasonic BR-2/3A, 3 В",active
4374,КА-00004443,,,,Panasonic,"Литиевая батарейка Panasonic BR-2/3A, 3 В",active
4414,КА-00004483,,,,Panasonic,"Литиевая батарейка Panasonic BR-2/3A, 3 В",active
4618,КА-00004688,,,,,"Аккумулятор Panasonic 2NCR18650BD- 7,4V 3200mAh-10A;страна происхождения Корея,Сеул",active
4665,КА-00004737,,,,Panasonic,Panasonic BR-2/3A,active
