external_id;name;sku;mpn;manufacturer
ФР-00000147;"Аккумуляторная батарея Delta DT12032 12В 3,3Ач  Страна ввоза: РФ, Страна изготовитель: Вьетнам.";DT12032;;
ФР-00000030;"Аккумуляторная батарея Delta DT 4035 4В 3,5Ач Страна ввоза: РФ, Страна изготовитель: Вьетнам.";П1.3.52.29.;;
ФР-00000145;"Аккумуляторная батарея Delta DT 12045 12В 4,5Ач  Страна ввоза: РФ, Страна изготовитель: Гонконг.";О3.2.52.29.;;
ФР-00000091;"Аккумуляторная батарея Delta DT 6045 6В 4.5Ач Страна ввоза: РФ, Страна изготовитель: Китай.";0002\А3;;
ФР-00000946;"Аккумуляторная батарея Delta DT1240 12В 40Ач  Страна ввоза: РФ. Страна изг.: Вьетнам";DT1240;;
ФР-00000031;"Аккумуляторная батарея Delta DT1207 12В, 7Ач Страна ввоза: РФ, Страна изготовитель: Вьетнам.";DT1207;;
ФР-00000414;"Аккумулятор Delta DTM 607 6V 7Ah. Ввоз: РФ произ-во: Вьетнам";О2.3.52.29.;;
ФР-00001872;"Аккумуляторная батарея CSB HR 1234W F2 12V/9Ah";О3.1.52.26.;;
ФР-00000240;"Аккумуляторная батарея Delta HR 6-9";0008\A3;;
ФР-00000163;"СК-1209 ВОСТОК Аккумуляторная батарея. Страна ввоза: РФ. Производство: Китай";;СК-1209;Восток
КА-00002368;"Аккумулятор CONTACT GP 12-18 (12V/18Ah), ВЬЕТНАМ";П1.3.52.24.;;
