external_id;name;sku;mpn;manufacturer
ФР-00000005;"Аккумуляторная батарея Delta DT12012 12В 1,2Ач  Страна ввоза: РФ, Страна изготовитель: Китай.";DT12012;DT12012;Delta
КА-00002695;"Аккумулятор Ventura GP 12-1.3, ВЬЕТНАМ";Р3.2.52.73.;;
ФР-00000029;"Аккумуляторная батарея Delta DT 6015 6В, 1,5Ач Страна ввоза: РФ, Страна изготовитель: Гонконг.";0001\А3;;
ФР-00000243;"Аккумуляторная батарея Delta DT1212 12В 12Ач  Страна ввоза: РФ";DT1212;;
ФР-00000233;"Аккумуляторная батарея Delta DT 612 6В, 12Ач Страна ввоза: РФ.";DT612;;
ФР-00000050;"Аккумуляторная батарея Delta DT12022 12В 2,2Ач Пр-во: Гонконг. Ввоз: РФ.";О1.1.52.29.;;
КА-00002167;"Аккумулятор Ventura GPL 12-26 (12V/26Ah), ВЬЕТНАМ";Р3.1.52.73;;
КА-00002597;"Аккумулятор Ventura GP 12-5 (12V/5Ah), ВЬЕТНАМ";О3.2.52.73.;;
ФР-00001191;"Аккумуляторная батарея Ventura GP-12-9";;GP-12-9;Ventura
КА-00001752;"Аккумулятор Ventura GP 12-2,3 (12V/2,3Ah), ВЬЕТНАМ";П2.2.52.73.;;
ФР-00000162;"СК 12120 ВОСТОК Аккумуляторная батарея. Страна ввоза: РФ";СК12120;;
КА-00001750;"Аккумуляторная батарея CSB GP 12170 B1 (12V/17Ah), ВЬЕТНАМ";П1.2.52.26.;;
