candidate_id;legacy_id;onec_external_id;bitrix_name;current_confirmed_sku;proposed_mpn;proposed_manufacturer;sources_agreeing;evidence;recommendation
6;1415;КА-00002695;"Аккумулятор Ventura GP 12-1.3 (AGM, 1.3Ah)";Р3.2.52.73.;GP 12-1.3;Ventura;live-site+onec-crosscheck;"Сайт H1 и 1С name дают один код модели GP 12-1.3 (совпадение дословное). Bitrix CML2_ARTICLE пуст, BRAND=Ventura подтверждает производителя третьим источником. current_confirmed_sku на живой странице не встречается и соответствует шаблону складского классификатора (762 записи в 1С); в 1С он уникален, поэтому опровергнут шаблоном, а не коллизией.";replace_sku_with_mpn
7;1417;ФР-00000029;"Аккумулятор Delta DT 6015 (AGM, 1.5Ah)";0001\А3;DT 6015;Delta;live-site+onec-crosscheck;"Сайт H1 и 1С name дают DT 6015 дословно. Bitrix CML2_ARTICLE пуст, BRAND=Delta. Классификатор 0001\А3 разделяют 2 партии одной модели (КА-00002041, ФР-00000029) из 8 партий DT 6015 — поведение складского кода партии, а не MPN.";replace_sku_with_mpn
25;1548;ФР-00000050;"Аккумулятор Delta DT 12022 (AGM, 2.2Ah)";О1.1.52.29.;DT 12022;Delta;live-site+onec-crosscheck;"Сайт H1 DT 12022, 1С name DT12022 — различие только в пробеле, код модели тот же. Bitrix CML2_ARTICLE пуст, BRAND=Delta. Классификатор О1.1.52.29. покрывает 8 позиций 1С, из них 5 — ДРУГИЕ модели Delta (DT12032 x2, DT 6033 x2, DT 6028) — прямая межмодельная коллизия, проверено запросом.";replace_sku_with_mpn
30;1578;КА-00002167;"Аккумулятор Ventura GPL 12-26 (AGM, 26Ah)";Р3.1.52.73;GPL 12-26;Ventura;live-site+onec-crosscheck;"Сайт H1 и 1С name дают GPL 12-26 дословно. Bitrix CML2_ARTICLE пуст, BRAND=Ventura. Классификатор Р3.1.52.73 разделяют 2 партии одной модели (КА-00002167, ФР-00001289) из 10 партий кода — межмодельной коллизии нет, но и подтверждения как MPN тоже.";replace_sku_with_mpn
35;1615;КА-00002597;"Аккумулятор Ventura GP 12-5 (AGM, 5Ah)";О3.2.52.73.;GP 12-5;Ventura;live-site+onec-crosscheck;"Сайт H1 и 1С name дают GP 12-5 дословно. Bitrix CML2_ARTICLE пуст, BRAND=Ventura. Классификатор О3.2.52.73. покрывает 4 позиции, одна из которых GP 12-9 — другая ёмкость, то есть другой товар. Коллизия проверена запросом.";replace_sku_with_mpn
44;1797;КА-00001752;"Аккумулятор Ventura GP 12-2.3 (AGM, 2.3Ah)";П2.2.52.73.;GP 12-2.3;Ventura;live-site+onec-crosscheck;"Сайт H1 GP 12-2.3, 1С name GP 12-2,3 — различие только в десятичном разделителе, код модели тот же. Bitrix CML2_ARTICLE пуст, BRAND=Ventura. Классификатор П2.2.52.73. у 2 партий той же модели, межмодельной коллизии нет — опровергнут шаблоном, а не коллизией.";replace_sku_with_mpn
47;2829;КА-00001750;"Аккумулятор CSB GP12170 (AGM, 17Ah)";П1.2.52.26.;;CSB;none;"РАСХОЖДЕНИЕ ИСТОЧНИКОВ — MPN не предлагается. Вариант А (живой сайт + Bitrix NAME): GP12170 без суффикса клеммы, страница проверена вручную, суффиксы B1/B3/F2 на ней отсутствуют. Вариант Б (1С name КА-00001750): GP 12170 B1. В той же номенклатуре 1С есть GP 12170 B3 (КА-00000471, КА-00001065, ФР-00001475) и GP12170 WBR (КА-00005830, КА-00006122). B1 и B3 — разные типы клемм, то есть разные MPN, и сайт не даёт признака для выбора. Отдельно: классификатор П1.2.52.26. общий с CSB HRL1234W F2 FR (КА-00002670) — сам confirmed_sku опровергнут коллизией, но замену без решения человека предложить нельзя. Manufacturer CSB подтверждён Bitrix BRAND=CSB и именем 1С.";manual_review_required
57;2955;ФР-00000030;"Аккумулятор Delta DT 4035 (AGM, 3.5Ah)";П1.3.52.29.;DT 4035;Delta;live-site+onec-crosscheck;"Сайт H1 и 1С name дают DT 4035 дословно. Bitrix CML2_ARTICLE пуст, BRAND=Delta. Это единственная позиция DT 4035 во всей номенклатуре 1С, классификатор П1.3.52.29. тоже уникален (n=1) — опровергнут шаблоном классификатора, а не коллизией; структурной перекрёстной проверки внутри 1С для этой строки нет.";replace_sku_with_mpn
59;3003;ФР-00000145;"Аккумулятор Delta DT 12045 (AGM, 4.5Ah)";О3.2.52.29.;DT 12045;Delta;live-site+onec-crosscheck;"Сайт H1 и 1С name дают DT 12045 дословно. Bitrix CML2_ARTICLE пуст, BRAND=Delta. Классификатор О3.2.52.29. покрывает 4 РАЗНЫЕ модели (DT 12045, HRL 12-7.2 X, HRL 12-9 X, HR 12-5.8) — самая грубая коллизия выборки, проверена запросом.";replace_sku_with_mpn
60;3005;ФР-00000091;"Аккумулятор Delta DT 6045 (AGM, 4.5Ah)";0002\А3;DT 6045;Delta;live-site+onec-crosscheck;"Сайт H1 и 1С name дают DT 6045 дословно. Bitrix CML2_ARTICLE пуст, BRAND=Delta. Классификатор 0002\А3 разделяют 2 партии одной модели (ФР-00000091, ФР-00001005) из 10 партий кода — складской код партии.";replace_sku_with_mpn
