slug,parent_slug,name,active_products,filters,index_policy,source_rule
industrial-batteries,,Аккумуляторы для бизнеса,2179,,navigation_with_unique_editorial_content,target_root
replacement-batteries,,Аккумуляторы для устройств,10941,,navigation_with_unique_editorial_content,target_root
batteries-ups,industrial-batteries,Аккумуляторы для ИБП,1097,"manufacturer,technology,voltage,capacity,terminal",category_after_content_gate,akkumulyatory/dlya_ibp
batteries-industrial,industrial-batteries,Промышленные аккумуляторы,918,"manufacturer,technology,voltage,capacity,application",category_after_content_gate,akkumulyatory/promyshlennye
batteries-traction,industrial-batteries,Тяговые аккумуляторы,164,"manufacturer,technology,voltage,capacity,application",category_after_content_gate,akkumulyatory/tyagovye
replacement-laptops,replacement-batteries,Аккумуляторы для ноутбуков,3348,"manufacturer,device_brand,device_model,voltage,capacity",category_after_content_gate; model filters noindex,akkumulyatory/dlya-kompyuternoy-tekhniki
replacement-mobile,replacement-batteries,Аккумуляторы для телефонов и планшетов,5506,"manufacturer,device_brand,device_model,voltage,capacity",category_after_content_gate; model filters noindex,akkumulyatory/smartfony-i-gadzhety
replacement-photo,replacement-batteries,"Аккумуляторы для фото-, видео- и аудиотехники",880,"manufacturer,device_brand,device_model,voltage,capacity",category_after_content_gate; model filters noindex,akkumulyatory/dlya-foto-video-audio-tekhniki
replacement-tools,replacement-batteries,Аккумуляторы для электроинструмента,322,"manufacturer,device_brand,device_model,voltage,capacity",category_after_content_gate; model filters noindex,akkumulyatory/dlya_elektroinstrumenta
replacement-home,replacement-batteries,Аккумуляторы для бытовой техники,325,"manufacturer,device_type,device_model,voltage,capacity",category_after_content_gate; model filters noindex,akkumulyatory/dlya-bytovoy-domashney-tekhniki
replacement-transport,replacement-batteries,Аккумуляторы для электротранспорта,129,"manufacturer,device_type,voltage,capacity,technology",category_after_content_gate,akkumulyatory/dlya_elektrotransporta
replacement-medical,replacement-batteries,Аккумуляторы для медицинской техники,431,"manufacturer,device_brand,device_model,voltage,capacity",category_after_content_gate; model filters noindex,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki
primary-cells,,Батарейки,1630,"manufacturer,chemistry,format,voltage,package_size",category_after_content_gate,batareyki
rechargeable-cells,,Аккумуляторные элементы,1125,"manufacturer,chemistry,format,voltage,capacity",category_after_content_gate,akkumulyatornye-batareyki
power-systems,,Источники питания,687,"manufacturer,device_type,power,voltage,input_voltage",category_after_content_gate,istochniki-pitaniya
chargers,,Зарядные устройства,284,"manufacturer,chemistry,channel_count,input_voltage",category_after_content_gate,zaryadnye_ustroystva
electronic-components,,Электронные компоненты,295,"manufacturer,component_type,package,parameters",noindex_until_component_data_gate,mikroelektronika
warehouse-equipment,,Складское оборудование,39,"manufacturer,equipment_type,load_capacity",content_required,skladskoe-oborudovanie
flashlights,,Фонари,9,"manufacturer,light_type,power,supply_type",content_required,fonari
