row_number,external_id,name,reason
13,КА-00000012,501381 Книга замечаний и предложений Сер. АМ  0026029,suspected_non_product
18,КА-00000028,"401951 Товарная накладная (ПЭВМ) 1х2, а4",suspected_non_product
23,КА-00000036,Доставка Курьером по СНГ,suspected_non_product
87,КА-00000108,Delivery from China to Our office (местная доставка),suspected_non_product
391,КА-00000416,700000 Услуги по доставке,suspected_non_product
409,КА-00000434,Платная доставка,suspected_non_product
1127,КА-00001159,"401951 Товарная накладная (ПЭВМ) 1х2, а4 Сер. ГС 1920001",suspected_non_product
1289,КА-00001322,"401951 Товарная накладная (ПЭВМ),1х2, а4 Сер. ДБ 0632401 - 0632800",suspected_non_product
1967,КА-00002004,"401951 Товарная накладная (ПЭВМ), 1х2, а4 Сер. ДЯ 0957601-0958000",suspected_non_product
2159,КА-00002199,"401951 Товарная накладная (ПЭВМ) 1х2, а4 Сер. БИ 0799930-0800000",suspected_non_product
2160,КА-00002200,"401951 Товарная накладная (ПЭВМ) 1х2, а4 Сер. БК 0043501-0043829",suspected_non_product
3615,КА-00003665,Тумба-доставка,suspected_non_product
3616,КА-00003666,Тумба-доставка к столу б/у,suspected_non_product
4894,КА-00004956,Услуга по доставке Автолайтэкспресс,suspected_non_product
4955,КА-00005017,Доставка курьером DPD (BY),suspected_non_product
4985,КА-00005047,"Услуга по замене батарей и запуску источника бесперебойного питания, с введением в имеющийся кластер",suspected_non_product
5008,КА-00005070,"Пополнение лицевого счета для работы с услугами ООО ""ВСЯ РАБОТА""",suspected_non_product
5039,КА-00005103,Услуги погрузки-выгрузки вручную,suspected_non_product
5040,КА-00005104,Услуга ответственного хранения ТМЦ на складе,suspected_non_product
5409,КА-00005475,Доставка ПТО Доминик,suspected_non_product
5688,КА-00005754,Услуги и обслуживание Берлио,suspected_non_product
5995,КА-00006061,"401951 Товарная накладная (ПЭВМ) 1х2, а4 Сер. ЯБ 1681801-1682000",suspected_non_product
6167,КА-00006233,Услуга по ремонту аккумуляторной батареи LiFePo4 (удаление),suspected_non_product
6193,КА-00006259,Услуга по ремонту аккумуляторной батареи LiFePo4,suspected_non_product
6673,КА-00006739,"401951 Товарная накладная (ПЭВМ) 1х2, а4 Сер. ЯД 1630601-1630800",suspected_non_product
6714,КА-00006780,"401951 Товарная накладная (ПЭВМ) 1х2, а4 Сер. ЯИ 0164001-0164500",suspected_non_product
7088,РБ-00000006,Транспортные услуги,suspected_non_product
7105,РБ-00000027,Возмещение услуг СВХ,suspected_non_product
7107,РБ-00000030,услуги связи.,suspected_non_product
7109,РБ-00000033,Информационные услуги,suspected_non_product
7111,РБ-00000035,коммунальные услуги,suspected_non_product
7113,РБ-00000037,услуги связи,suspected_non_product
7114,РБ-00000038,транспортно-экспедиционные услуги,suspected_non_product
7357,ФР-00000260,Доставка из Китая,suspected_non_product
7576,ФР-00000505,Доставка по минску,suspected_non_product
8300,ФР-00001346,Эксплуатационные услуги,suspected_non_product
8377,ФР-00001426,Доставка товаров покупателю курьером до двери,suspected_non_product
8378,ФР-00001427,Доставка товара покупателю до двери,suspected_non_product
9188,ФР-00002318,401951 Товарная накладная (ПЭВМ) 1 номер,suspected_non_product
