external_id;name;slug
КА-00004103;Конденсатор MAL214868222E3 /Китай/;draft-cbf256da9d877a00
КА-00004104;Конденсатор PMB2124150KAP /Китай/;draft-91056d86221fa98a
КА-00004105;Конденсатор R474R410050A1K /Китай/;draft-76d42cce54c99972
КА-00004106;Конденсатор MKP4-1000V-2.2UF /Китай/;draft-a3a26110e2f92ed3
КА-00004107;Конденсатор mkp4-1000V-0.15uf /Китай/;draft-51b4147c033ce5c2
КА-00004108;Конденсатор SNMPJ043307H1AKS0 /Китай/;draft-df565a56db7e2acd
КА-00004109;Аккумуляторная батарея  DT 12022 Delta, PGK8XMF /Китай/;draft-514637ac7d533f09
КА-00004110;Аккумуляторная батарея HR 12-12 Delta, I5KC8F5 /Вьетнам/;draft-d11939b4176a3dfe
КА-00004111;Аккумулятор 10NI-CD 4/5SC 1200mAh 10C 12V, страна ввоза: Китай. Производство: Китай.;draft-68b708f450a1e29f
КА-00004112;ИБП GAMMA 1.5KR (IN1500RM-GA-KR-KS);draft-dd8f601a7904aa81
КА-00004113;ИБП GAMMA 2KR (IN2000RM-GA-KR-KS);draft-532b515fa7f04add
КА-00004114;Аккумулятор Fiamm 6SLA100 /Китай/;draft-d95148d0b6281e8a
КА-00004115;Аккумулятор Marathon L2V220/Китай/;draft-28f05d0336697154
КА-00004116;Конденсатор 330 нФ*400в переменного тока, тип к73-17,ввоз Гонконг;draft-262782a232f0696b
КА-00004117;Конденсатор 150нФ*400в переменного тока, тип к73-17, ввоз Гонконг;draft-c41643788f321ca7
КА-00004118;"Элемент питания ENERGIZER CR2450/VAN; Страна происхождения - ИНДОНЕЗИЯ";draft-9d4421456dbdf05b
КА-00004119;Аккумулятор Power Safe 12v62F /Китай/;draft-3f6aac85bc9528ae
КА-00004120;Аккумулятор 48V 15Ah /Китай/;draft-b1d358aba944efd0
КА-00004121;Аккумулятор LEOCH DJW12-24S /Китай/;draft-d0d5fd8a9cdd1aef
КА-00004122;Элемент питания литиевый CR2450 3,0V с выводами FX3U-32BL  /Китай/;draft-f6de031198569f36
КА-00004123;"Элемент питания SAFT LS14500 AA Lithium с выводами; Страна происхождения - ФРАНЦИЯ";draft-dfa1c9f8f9272eeb
КА-00004124;Аккумулятор 39NCR21700 48V 15000mah /Япония/;draft-1b76a7df58ad2f63
КА-00004125;Батарея литиевая CR17335-SE с выводами под пайку /Китай;draft-0e92231b42fddece
КА-00004126;Варистор E48NR113E  B72248  E0113S072;draft-197f5b469110c5be
КА-00004127;Аккумуляторная батарея 6-FMX-100B 12V100Ah/Китай/;draft-5f4d1030c0c7c5d9
КА-00004128;Усилитель ELKO TV111 /Чехия/;draft-02a72a9d4b1603f3
КА-00004129;Аккумулятор Li-ion 18V 5.0 Ah /Китай/;draft-8df5af5a92983bc8
КА-00004130;Аккумулятор Bosh Li-ion 18V 5Ah /Китай/;draft-11e0bb5d6a5caa2f
КА-00004131;Аккумулятор Li-ion 20V 5Ah /Китай/;draft-c2ed3cb623625ac9
КА-00004132;Аккумулятор DeWalt Li-ion 18V 5Ah /Китай/;draft-da2882f6a033cf68
КА-00004133;Батарея EEMB ER18505-LD /Китай/;draft-6367f8a0315f517a
КА-00004134;Аккумулятор Ni-mh SUNER SC 3000mah с выводами  для  пайки /Китай/;draft-5a1a7b404fca4e2a
КА-00004135;Аккумулятор литиевый SAMSUNG 6INR18650-25R 11,1 В 5000 мАч;draft-f3ff5ccaaad376b2
КА-00004136;Батарейка Maxell ER6C AA (F2-40BL) PLC 1S /Япония/;draft-52ab16142770f3c8
КА-00004137;Батарейка Toshiba ER3V /Китай/;draft-f300d0b72e630d30
КА-00004138;Батарейка Panasonic BR1/2AAE2PN /Китай/;draft-73bc59fa790377f1
КА-00004139;Аккумулятор для Honeywell 1452g, 1472g (WATS) (WATS-BAT-SCN01A-34MA);draft-de2d1ef3d7e3f660
КА-00004140;Аккумуляторная батарея SPRINTER P12V875 (Португалия);draft-843b6d4865876473
КА-00004141;Аккумуляторная батарея CSB GP 12400 12V/40Ah, Вьетнам/Китай;draft-f704318fb7556aa8
КА-00004142;Аккумуляторная батарея CSB GPL 12400 12V/40Ah, Вьетнам/Китай;draft-c7fe3a9b1db71df2
КА-00004143;Аккумулятор Li-ion 2IRC14500 800mAh 7,4 V;draft-da048b55ba365a0c
КА-00004144;Аккумуляторная батарея Delta CT 1210.1;draft-02319ceb404af6ff
КА-00004145;Батарейка AG10 1,5V 65mAh /Китай/;draft-3e43a127e48a4b29
КА-00004146;Батарейка Vinnic AG10 L1131F /Китай/;draft-8904e48fc3ed6423
КА-00004147;Аккумулятор Ni-MH SUNER 6V 2200mah в компауде;draft-ec124afe632e3358
КА-00004148;Разъем BLS-3pin 2,54 12V /Китай/;draft-530c54b9e566ec01
КА-00004149;Аккумулятор li-ion Vapcell F38 18650 3800mAh 10A /Китай/;draft-e3795f1b03bf6074
КА-00004150;Блок питания ATX 500 Вт /Китай/;draft-e7084c562a64c40d
КА-00004151;Блок питания ATX 700 Вт /Китай/;draft-c90fc53d68c33401
КА-00004152;Кресло офисное Mio Tesoro Барабеско AF-C4025 (серый);draft-3a717168164366eb
КА-00004153;Средство для мытья стекол Клин Анти пар (500мл);draft-a6b45dc4548eb334
КА-00004154;Бумажные полотенца Papia Decor 3-х слойные 83л (2рул);draft-c093a89e7372c6df
КА-00004155;Блок питания Supermicro PWS-1K41P-1R 180-240V 1400W9.5/7.0A для серверов OEM\Supermicro;draft-3c21368cd405e743
КА-00004156;Первичные литиевые элементы TEKCELL SB-D02 с выводами;draft-d2bb7e9483fd7e2f
КА-00004157;Аккумулятор CS-EDS300MD 5200 mAh 14.4V /Китай/;draft-413b242012b4e31e
КА-00004158;Аккумулятор CS-MRM800MD 5600mAh 14.8V /Китай/;draft-140bcd7d07d349ed
КА-00004159;Аккумулятор CS-DEP750XL 1800mAh 3.7V /Китай/;draft-4903b1ad04e0d3bb
КА-00004160;Аккумулятор 2P/LPP 503562S 2400 mAh 3.7V 8.9Wh /Китай/;draft-5babbde08f2af310
КА-00004161;Батарейка ER3V XH-3P 1100 mAh /Китай/;draft-2a68e188e40b0bc0
КА-00004162;Визитки, 50х90 мм, 4+4, 350 г/м2;draft-f9f34268316be801
КА-00004163;Визитки, 50х90 мм, 4+0, 350 г/м2;draft-dea84fba3ee60271
КА-00004164;Эл. питания литиевый CR2032-VAY5-17.8/Китай/;draft-da21cbba28a3f4f8
КА-00004165;Аккумуляторная батарея BB Battery HR 5.8-12, страна ввоза Россия;draft-b7d6ab7135015d37
КА-00004166;Ремонт аккумуляторной батареи PMNN4251 1400 mAh, 7,2 NI-MH Battery для радиостанций Motorola;draft-bfbad7da44d9cf9e
КА-00004167;Ремонт аккумуляторной батареи HNN9009  1900 mAh, 7,5 NI-MH Battery для радиостанций Motorola;draft-c71a145338560bce
КА-00004168;Аккумуляторная батарея для ноутбука Asus K55 (A32-K55) 10,8V 50Wh черная;draft-aef3315dd61e3730
КА-00004169;Батарея литиевая CR17335 SE-R /Китай/;draft-a9cfa6c157ffb932
КА-00004170;EDR-150-24, Источник питания, Блок питания,24В,6.5А,156Вт\MEAN WELL;draft-52ecb32bd31d6da6
КА-00004171;Комплект аккумулятора li-ion 18V 6.0Ah /Китай/;draft-3bf42abf9b2999a4
КА-00004172;Аккумуляторная батарея Vtg 12-200 XT/Китай;draft-ac74491b0cd266e5
КА-00004173;Аккумуляторная батарея Sprinter P875/Португалия;draft-37fd492ba5774e7a
КА-00004174;Аккумуляторная батарея DT 12012 Delta, 8ESQ6GU /Китай/;draft-c4fab5f68fd9008a
КА-00004175;LS 17330 (SAFT) с выводами Литьевый элемент питания,  Производство:СОЕДИНЕННОЕ КОРОЛЕВСТВО;draft-1ce0a2e4622dd2b4
КА-00004176;Аккумуляторная батарея Sprinter XP 12v3000/Португалия;draft-0331baa635b2a598
КА-00004177;Аккумулятор ROBITON DECT-T236-3XAA PH1;draft-b399bd1d4025c563
КА-00004178;Переходник М6 ф16, S20x31, A12 Б/п;draft-fbb3db4746a01f6e
КА-00004179;Переходник М6 ф17.2, S20x31, A12 Б/п;draft-83f2591cb587785c
КА-00004180;Аккумулятор R-Drive Extremal Platinum YTZ10S-BS (8,6 Ah, прямая, 170 А (151х87х94))/Вьетнам;draft-f2d9e917d2572d94
КА-00004181;Штекер D-SUB - SUBCON 9/M-SH - 2761509 /Китай/;draft-aae9b85aae59ea10
КА-00004182;Разъём D-Sub DB9-M /Китай/;draft-9ae13e8cee0b8995
КА-00004183;Предохранитель 1А 500V 6,3х32mm /Китай/;draft-e7ed9dea3a994e5f
КА-00004184;Предохранитель 1,5А 250V 5x20mm /Китай/;draft-bd8b61dd6fd6233d
КА-00004185;Предохранитель 0,5А 250V 5х20mm /Китай/;draft-eccc085ff09fd3e4
КА-00004186;Конденсатор 100uf 50V /Китай/;draft-f28336971bdfdd0e
КА-00004187;Модуль CM600DXLE-24A /Китай/;draft-d73bdb73184d3840
КА-00004188;Плата YPHT31654-1C /Китай/;draft-3e244707013b0494
КА-00004189;Конденсатор B43501A9477M000 /Китай/;draft-af0dbfe2d2fc0526
КА-00004190;Конденсатор LKS2G471MS045K63B /Китай/;draft-3ca160235c91ac58
КА-00004191;Конденсатор KM1V331M1013 /Китай/;draft-7770be708fd9170f
КА-00004192;Конденсатор EWH1VM152W25OT /Китай/;draft-211586e391fd34b7
КА-00004193;Конденсатор ERT187M2WL40RR /Китай/;draft-d353f858f2b19359
КА-00004194;Конденсатор EKXJ351ELL221MM45S /Китай/;draft-e073d93deb7ac3c5
КА-00004195;Цинковый резистор 52мм /Китай/;draft-dfbdad0d0b9a20f3
КА-00004196;Щетка SM-101232 /Китай/;draft-4bb0f2edf5dfee15
КА-00004197;Потенциометр P-6501-A102 /Китай/;draft-6566e4b3f0abde5a
КА-00004198;Диодный модуль DD89N14K /Китай/;draft-fcecdcc4a7b80747
КА-00004199;Варистор V751 DB40 /Китай/;draft-cc6aca5fca066f4f
КА-00004200;Стабилизатор LT1083 /Китай/;draft-f458212ab2dcd6c4
КА-00004201;Резистор Spz-400-100kr /КИТАЙ/;draft-ca0e6fce9624a96c
КА-00004202;Аккумуляторная батарея DT 6045 Delta, 62YMR7E /Китай/;draft-fadaafba33aca63e
КА-00004203;Провод НВ-0,5 4 600В черн;draft-80f8a605a21e24d7
КА-00004204;Провод НВ-0.50 4н. 600В крас;draft-3d4f72eb4243cb7a
КА-00004205;Провод НВ-0,35 4 н.600В кр;draft-31d7ec0f1f791982
КА-00004206;Провод НВ-0,35 4 н.600В чер;draft-e90a36284270118f
КА-00004207;Источник бесперебойного питаниясерии SIGMA KS 3К (IN3000-SI-KS);draft-0949e44715e33e9f
КА-00004208;Аккумулятор Ni-MH 140mAh 3,6v 3pin/Китай/;draft-bbef670cd4c907f7
КА-00004209;Аккумулятор Ni-Mh HNN9009A 7.5V /Китай/;draft-4d960edb259fe8c9
КА-00004210;Аккумулятор Ni-Mh PMNN4251AR 1400mAh /Китай/;draft-b79f13c8b156dba4
КА-00004211;Аккумулятор LiFePO4 24V 230Ah (подогрев);draft-567d59f7761e4150
КА-00004212;Зарядное устройство 24V 100А LiFE /Китай/;draft-5d468ec95cece807
КА-00004213;Аккумулятор li-po 302535 3.7V 300mAh /Китай/;draft-285860b7c45cc999
КА-00004214;Аккумулятор 12 LTO 66160H 13,8V 80Ah /Китай/;draft-1481767a325f329b
КА-00004215;Транзисторы BLF578XR /США/;draft-bff144bb61902dea
КА-00004216;Аккумулятор литий-полимерный 7566122 8000mAh 3,7V 29,6 Wh Страна пр-ва: Китай;draft-0ea6c90006d606d8
КА-00004217;Щеткодержатели для двигателя SM5617 /Китай/;draft-962a35ef43c40bfa
КА-00004218;Аккумулятор литиевый 40BSL 18650 36V 10,4Ah 3C;draft-797daecad3719591
КА-00004219;Блок аккумуляторов SUNER Ni-mh 10SC 3000mah 12V 10С (flat top) Производство: Китай. Ввоз:Китай;draft-4180a7a83ecceb3b
КА-00004220;Батарея CR2450NRV-LF/Китай/;draft-bd289086b55fd4df
КА-00004221;Аккумулятор Li-ion CS-HPF550NB 4400mAh 10.8V /Китай/;draft-1bd30dc7e1b45c38
КА-00004222;Элемент питания Samsung 8INR18650-30Q 3000mAh 29,6V Страна присхождения- Республика Карея.;draft-b9e5e176ad59e960
КА-00004223;Аккумулятор литиевый Samsung 5INR18650-25S  18В 2500mAh 25A  /Китай/;draft-fc225a0889b547de
КА-00004224;Аккумулятор литиевый Samsung 10INR18650-25S  18В 5000mAh 25A  /Китай/;draft-630b264d15dbe8fe
КА-00004225;Аккумулятор ФАZА 5АА 6В 2700мАч, происх. КИТАЙ;draft-52fcb052606503b1
КА-00004226;Инвертор 1500W 24V /Китай/;draft-a9fd408361aeef43
КА-00004227;Аккумулятор Ni-Mh BATT-5R 900mAh /Китай/;draft-c25e23251145ba8a
КА-00004228;Преобразователь B2403-2W/Китай/;draft-0e66dde52291a223
КА-00004229;Преобразователь AM3G-1209SNZ/Китай/;draft-eb8ad267d5bdbf10
КА-00004230;Преобразователь TMH0505D2Вт/Китай/;draft-d5c41db271d921c1
КА-00004231;Элемент питания CP 27А 12V BL5 Китай;draft-d56059560e2b442c
КА-00004232;Аккумуляторная батарея HR 6-9 Delta, T90065S /Вьетнам/;draft-d909fab9e305dbc6
КА-00004233;Аккумуляторная батарея DT 12045 Delta , 5I7ZC2E /Китай/;draft-814d10844d90a2ce
КА-00004234;Аккумуляторная батарея DTM 12008 Delta, 3W2EL3F /Китай/;draft-b59aa4ba76af5290
КА-00004235;Аккумуляторная батарея DT12032 Delta, NF2N543 /Вьетнам/;draft-d833053865187960
КА-00004236;Конденсатор LXZ 25V 330uf /Китай/;draft-e68717445b41d413
КА-00004237;Батарея LP4741122 5300mAh /Китай/;draft-614fbf9092fedf54
КА-00004238;АККУМУЛЯТОР BPS28-12D I1, Китай;draft-b176a8e66fe26ea1
КА-00004239;Аккумулятор 2Samsung INR18650-35E 3450mAh 7,4V, страна происх. Корея;draft-8105e99b489dbffe
КА-00004240;Аккумулятор 3Samsung INR18650-35E 3450mAh 11,1 V, страна происх. Корея;draft-e729a9027c712488
КА-00004241;Аккумулятор 2FDK Ni-MH HR-4/3AU 4000mAh Производство: Япония. Ввоз: Литва;draft-c0e74b0713037b83
КА-00004242;Адаптер/блок питания ROBITON IR9-500S;draft-edf264c1eef6b02d
КА-00004243;Батарейка FUJI FDK CR8-LHC 3V /Китай/;draft-f9ce153ccc8ffb95
КА-00004244;Кабель выносного микрофона  M8660 mic line /Китай/;draft-e6f303aedbe2f3b1
КА-00004245;Ручка переключения каналов  P8668 bottom /Китай/;draft-9c6ff5431af9f8cc
КА-00004246;Ручка громкости P8660 bottom /Китай/;draft-5517d98bb4be8339
КА-00004247;Контактная группа M8660 contact piece /Китай/;draft-eb94b3cbb70faf28
КА-00004248;Разъем M8660 power source /Китай/;draft-d14b9f67c619b5bb
КА-00004249;Аккумулятор Fiamm 12FIT60 /Китай/;draft-91017404fd764a92
КА-00004250;Аккумулятор EVE 2 INR18650- 3500mAh-10A 7,4V /Китай/;draft-d82d879cb8ae3d1e
КА-00004251;Кабель SIPU Patch Cat5e (10м), страна производитель Китай;draft-a7970644c3d86576
КА-00004252;Аккумулятор Li-ion PMNN4259Ar 2075mAh 7,4V /Китай/;draft-094f32c02bbff8eb
КА-00004253;Аккумулятор литиевый SAMSUNG 10INR18650-25R 18B 5000mah 20A;draft-e9d7e39a20b145c7
КА-00004254;Аккумулятор 2Samsung INR18650-35E 3,7V 7,0Ah 10A, страна происх. Корея;draft-d13b1a3a422f162d
КА-00004255;Аккумулятор Ni-MH CS-TRM350SL 3800mAh 7.2V /Китай/;draft-72fd826006a5c416
КА-00004256;Аккумулятор литиевый 7WNW1 11,4V 4342mAh (Dell 5424) /Китай/;draft-7638128bd7ef2f70
