product_external_id,category_external_id
КА-00001610,seo:measurement-equipment
КА-00001611,seo:measurement-equipment
КА-00002910,seo:measurement-equipment
КА-00003317,seo:drone-components
КА-00005007,seo:drone-components
КА-00005008,seo:drone-components
КА-00005009,seo:drone-components
КА-00005067,seo:measurement-equipment
КА-00005173,seo:drone-components
КА-00005237,seo:drone-components
КА-00005348,seo:drone-components
КА-00005372,seo:drone-components
КА-00005468,seo:drone-components
КА-00005469,seo:drone-components
КА-00005480,seo:drone-components
КА-00005482,seo:drone-components
КА-00005485,seo:drone-components
КА-00005722,seo:drone-components
КА-00005723,seo:drone-components
КА-00005724,seo:drone-components
КА-00005725,seo:drone-components
КА-00005726,seo:drone-components
КА-00005727,seo:drone-components
КА-00005728,seo:drone-components
КА-00005729,seo:drone-components
КА-00005730,seo:drone-components
КА-00006067,seo:measurement-equipment
КА-00006441,seo:measurement-equipment
КА-00006701,seo:drone-components
КА-00006764,seo:drone-components
КА-00006766,seo:drone-components
КА-00006773,seo:drone-components
КА-00006801,seo:drone-components
КА-00006802,seo:drone-components
КА-00006906,seo:measurement-equipment
КА-00006910,seo:drone-components
КА-00006915,seo:drone-components
КА-00006917,seo:drone-components
КА-00006924,seo:drone-components
КА-00006959,seo:drone-components
КА-00007014,seo:measurement-equipment
