Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение
742,"Аккумулятор EnerSys Cyclon X Cell (AGM, 5 Ah, 2V)",,КА-00005195,,"EnerSys Cyclon X Cell (AGM, 5 Ah, 2V)",CELLAGM5AH,yes,0.95,sig+brand,КА-00005195,agree
754,"Аккумулятор CSB GP1272 F2 (AGM, 7Ah)",,КА-00001364,,"Аккумулятор CSB GP 1272 F2 (12V/7,2Ah) Китай",CSBGP1272F2,yes,0.95,sig+brand,КА-00001276,differ
1191,"Аккумулятор Robiton VRLA4-3 (AGM, 3Ah)",,ФР-00000662,A3,"Аккумулятор ROBITON VRLA 4-3(4V 3Ah), страна изг-ль Китай, из России",ROBITONVRLA43,yes,0.6,sig+brand+generic,ФР-00000662,agree
1398,"Аккумулятор Delta DTM 12008 (AGM, 0.8Ah)",,КА-00001149,О1.2.52.29.,Аккумуляторная батарея Delta DTM12008 05M4421 /Китай/,DELTADTM12008,yes,0.6,sig+brand+generic,КА-00001149,agree
1400,"Аккумулятор Delta DT 401 (AGM, 1Ah)",,ФР-00002172,,Аккумуляторная батарея Delta DT 401,DELTADT401,yes,0.95,sig+brand,ФР-00002172,agree
1401,"Аккумулятор Delta DT 12012 (AGM, 1.2Ah)",,ФР-00000005,DT12012,"Аккумуляторная батарея Delta DT12012 12В 1,2Ач  Страна ввоза: РФ, Страна изготовитель: Китай.",DELTADT12012,yes,0.95,sig+brand,ФР-00000005,agree
1403,"Аккумулятор Delta DTM 12012 (AGM, 1.2Ah)",,КА-00002072,П2.1.52.29.,"Аккумуляторная батарея DTM 12012 Delta, WWQI8CH /Вьетнам/",DTM12012,yes,0.6,sig+brand+generic,КА-00002072,agree
1404,"Аккумулятор Delta DTM 6012 (AGM, 1.2Ah)",,КА-00005764,,Аккумуляторная батарея DTM 6012 Delta,DTM6012,yes,0.95,sig+brand,КА-00005764,agree
1409,"Аккумулятор Casil CA 1213 (AGM, 1.3Ah)",,КА-00003442,,АККУМУЛЯТОР CASIL CA1213 12V 1.3Ah,CASILCA1213,yes,0.95,sig+brand,КА-00003442,agree
1412,"Аккумулятор MNB MS 1.3-12 F1 (AGM, 1.3Ah)",,ФР-00001351,,"Аккумулятор MHB MS 1.3-12, Китай",MS1312,no,0.85,sig,ФР-00001351,agree
1415,"Аккумулятор Ventura GP 12-1.3 (AGM, 1.3Ah)",,КА-00002695,Р3.2.52.73.,"Аккумулятор Ventura GP 12-1.3, ВЬЕТНАМ",VENTURAGP121,yes,0.95,sig+brand,КА-00002695,agree
1416,"Аккумулятор Ventura GP 6-1.3 (AGM, 1.3Ah)",4687,КА-00002376,О2.1.,Аккумулятор Ventura GP 6-4.5 (6V/4.5Ah),VENTURAGP6,no,0.6,sig+generic,,new
1417,"Аккумулятор Delta DT 6015 (AGM, 1.5Ah)",,ФР-00000029,0001\А3,"Аккумуляторная батарея Delta DT 6015 6В, 1,5Ач Страна ввоза: РФ, Страна изготовитель: Гонконг.",DELTADT6015,yes,0.95,sig+brand,КА-00002041,differ
1419,"Аккумулятор Delta DT 12100 (AGM, 100Ah)",,ФР-00000106,,Аккумуляторная батарея Delta DT 12100 12В 100Ач,DELTADT12100,yes,0.95,sig+brand,ФР-00000106,agree
1420,"Аккумулятор Delta DTM 12100 L (AGM, 100Ah)",,КА-00002549,,"Аккумуляторная батарея Delta DTM 12100 L, страна происхождения товара Вьетнам, страна ввоза Россия",DELTADTM12100L,yes,0.95,sig+brand,КА-00003843,differ
1421,"Аккумулятор Delta FTS 12-100X (AGM, 100Ah)",,КА-00006757,,Аккумуляторная батарея Delta FTS 12-100 X /Китай/,FTS12100X,yes,0.95,sig+brand,КА-00005119,differ
1422,"Аккумулятор Delta HRL 12-100 (AGM, 100Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ
1423,"Аккумулятор Delta HRL 12-470W (AGM, 100Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ
1429,"Аккумулятор Fiamm 12FGL100 (AGM, 100Ah)",4634,КА-00007132,,Аккумулятор свинцово-кислотный Fiamm12FGL100 12V100AH /Китай/,FIAMM12FGL100,no,0.95,sig,КА-00007132,agree
1430,"Аккумулятор Fiamm 6SLA100 (AGM, 100Ah)",,КА-00004114,,Аккумулятор Fiamm 6SLA100 /Китай/,FIAMM6SLA100,yes,0.95,sig+brand,КА-00004114,agree
1436,"Аккумулятор Ventura FT 12-100 для ИБП (GEL, 100Ah)",,КА-00002967,,"Аккумулятор Ventura FT 12-100, Китай",VENTURAFT12100,yes,0.6,sig+brand+generic,КА-00002967,agree
1437,"Аккумулятор Ventura GP 12-100 (AGM, 100Ah)",,КА-00001751,,"Аккумулятор Ventura GP 12-12 (12V12Ah),ВЬЕТНАМ",VENTURAGP12,yes,0.6,sig+brand+generic,КА-00000318,differ
1438,"Аккумулятор Ventura GPL 12-100 (AGM, 100Ah)",,КА-00001368,,"Аккумулятор Ventura GPL 12-100 (12-100Ah), ВЬЕТНАМ",VENTURAGPL12100,yes,0.95,sig+brand,КА-00000023,differ
1439,"Аккумулятор Ventura VG 12-100 для ИБП (GEL, 100Ah)",,КА-00005514,,Аккумулятор Ventura VG 12-100 /Китай/,VENTURAVG12100,yes,0.95,sig+brand,КА-00005514,agree
1440,"Аккумулятор Delta FTS 12-105 (AGM, 105Ah)",,КА-00005743,,Аккумуляторная батарея Delta FTS 12-105 X /Китай/,DELTAFTS12105,yes,0.95,sig+brand,КА-00005743,agree
1442,"Аккумулятор Delta CT 1210 (AGM, 10Ah)",,КА-00004144,,Аккумуляторная батарея Delta CT 1210.1,DELTACT1210,yes,0.95,sig+brand,КА-00004144,agree
