Bitrix ID,Название сайта,Бренд
741,"Аккумулятор EnerSys Cyclon D Cell (AGM, 2.5 Ah)",4629
845,"Аккумулятор Fiamm LM/S 435 для ИБП (OPzS, 435Ah)",4634
849,"Аккумулятор Fiamm 2SLA500 (AGM, 500Ah)",4634
853,"Аккумулятор Fiamm 2SLA580 (AGM, 580Ah)",4634
857,"Аккумулятор Fiamm SMG 720 для ИБП (GEL, 720Ah)",4634
858,"Аккумулятор Fiamm 2SLA800 (AGM, 800Ah)",4634
875,Аккумулятор KGL- 70 P (с электролитом) (ЗАИТ),4705
876,Аккумулятор KGL-100 P (с электролитом) (ЗАИТ),4705
877,Аккумулятор KGL-125 P (с электролитом) (ЗАИТ),4705
878,Аккумулятор KGL-140P (с электролитом) (ЗАИТ),4705
879,Аккумулятор KGL-160 P (с электролитом) (ЗАИТ),4705
880,Аккумулятор KGL-300 P (с электролитом) (ЗАИТ),4705
881,Аккумулятор KGL-350 P (с электролитом) (ЗАИТ),4705
882,Аккумулятор KGL-450 P (с электролитом) (ЗАИТ),4705
883,Аккумулятор KGL-500 P (с электролитом) (ЗАИТ),4705
884,Аккумулятор KL- 55 P (НК 55П),4701
885,Аккумулятор KL- 80 P (НК 80П),4701
886,Аккумулятор KL-125 P (без электролита) (ЗАИТ),4705
887,Аккумулятор KL-125 P (НК 125П),4701
888,Аккумулятор KL-160 P (без электролита) (ЗАИТ),4705
889,Аккумулятор KL-160 P (с электролитом) (ЗАИТ),4705
890,Аккумулятор KL-250 P (без электролита) (ЗАИТ),4705
891,Аккумулятор KL-250 P (с электролитом) (ЗАИТ),4705
892,Аккумулятор KL-300 P (без электролита) (ЗАИТ),4705
893,Аккумулятор KL-300 P (с электролитом) (ЗАИТ),4705
894,Аккумулятор KL-500 P (без электролита) (ЗАИТ),4705
895,Аккумулятор KL-500 P (с электролитом) (ЗАИТ),4705
896,Аккумулятор KM-260 P,4701
897,Аккумулятор KM-300 P,4701
898,Аккумулятор KPL- 55P (без электролита) (ЗАИТ),4705
899,Аккумулятор KPL- 70 P (без электролита) (ЗАИТ),4705
900,Аккумулятор KPL- 70 P (с электролитом) (ЗАИТ),4705
1138,"Аккумулятор Panasonic LC-RA1212PG1 (AGM, 12Ah)",4664
1139,"Аккумулятор Panasonic LC-R061R3P (AGM, 1.3Ah)",4664
1140,"Аккумулятор Panasonic LC-R121R3PG (AGM, 1.3Ah)",4664
1142,"Аккумулятор Panasonic LC-P127R2P (AGM, 7.2Ah)",4664
1143,"Аккумулятор Panasonic LC-T12105P (AGM, 105Ah)",4664
1144,"Аккумулятор Panasonic LC-QA12110TP (AGM, 110Ah)",4664
1145,"Аккумулятор Panasonic LC-P12120P (AGM, 120Ah)",4664
1147,"Аккумулятор Panasonic LC-P0612P (AGM, 12Ah)",4664
1148,"Аккумулятор Panasonic LC-PA1212P1 (AGM, 12Ah)",4664
1149,"Аккумулятор Panasonic LC-R0612P (AGM, 12Ah)",4664
1150,"Аккумулятор Panasonic LC-R0612P1 (AGM, 12Ah)",4664
1151,"Аккумулятор Panasonic LC-RA1212PG (AGM, 12Ah)",4664
1152,"Аккумулятор Panasonic LC-P12150BP (AGM, 150Ah)",4664
1153,"Аккумулятор Panasonic LC-CA1215P1 (AGM, 15Ah)",4664
1154,"Аккумулятор Panasonic LC-RA1215P (AGM, 15Ah)",4664
1155,"Аккумулятор Panasonic LC-RA1215P1 (AGM, 15Ah)",4664
1156,"Аккумулятор Panasonic LC-CA1216P1 (AGM, 16Ah)",4664
1157,"Аккумулятор Panasonic LC-PA1216P1 (AGM, 16Ah)",4664
1159,"Аккумулятор Panasonic LC-XD1217PG (AGM, 17Ah)",4664
1160,"Аккумулятор Panasonic LC-P122R2J (AGM, 2.2Ah)",4664
1161,"Аккумулятор Panasonic LC-R122R2PG (AGM, 2.2Ah)",4664
1162,"Аккумулятор Panasonic LC-P06200TA (AGM, 200Ah)",4664
1163,"Аккумулятор Panasonic LC-P12200BP (AGM, 200Ah)",4664
1164,"Аккумулятор Panasonic LC-P1220P (AGM, 20Ah)",4664
1397,"Аккумулятор Casil CA 1208 (AGM, 0.8Ah)",4618
1399,"Аккумулятор Robiton VRLA12-0.8 (AGM, 0.8Ah)",4670
1402,"Аккумулятор Delta DT 6012 (AGM, 1.2Ah)",4622
1405,"Аккумулятор Fiamm FG10121 (AGM, 1.2Ah)",4634
1406,"Аккумулятор Fiamm FG20121 (AGM, 1.2Ah)",4634
1407,"Аккумулятор Fiamm FG20121A (AGM, 1.2Ah)",4634
1408,"Аккумулятор MNB MS 1.2-6 F1 (AGM, 1.2Ah)",4656
1410,"Аккумулятор Casil CA 613 (AGM, 1.3Ah)",4618
1413,"Аккумулятор Robiton VRLA12-1.3 (AGM, 1.3Ah)",4670
1414,"Аккумулятор Robiton VRLA6-1.3 (AGM, 1.3Ah)",4670
1418,"Аккумулятор CSB HRL12390W FR (AGM, 100Ah)",4619
1425,"Аккумулятор Fiamm 12FIT100/19 (AGM, 100Ah)",4634
1426,"Аккумулятор Fiamm 12FIT100/23 (AGM, 100Ah)",4634
1427,"Аккумулятор Fiamm 12FLB400 P (AGM, 100Ah)",4634
1431,"Аккумулятор Fiamm FG2A007 (AGM, 100Ah)",4634
1433,"Аккумулятор MNB MM 100-12 (AGM, 100Ah)",4656
1434,"Аккумулятор MNB MNG 100-12 для ИБП (GEL, 100Ah)",4656
1435,"Аккумулятор MNB MR 100-12FT (AGM, 100Ah)",4656
1441,"Аккумулятор Ventura HRL 12500W (AGM, 108Ah)",4687
1444,"Аккумулятор Fiamm 12FLB450 P (AGM, 115Ah)",4634
1445,"Аккумулятор Delta CT 1211 (AGM, 11Ah)",4622
1447,"Аккумулятор Delta CT 1212.1 (AGM, 12Ah)",4622
1448,"Аккумулятор Delta CT 1212.2 (AGM, 14Ah)",4622
1449,"Аккумулятор Delta CT 1214.1 (AGM, 14Ah)",4622
1450,"Аккумулятор Delta CT 1216.1 (AGM, 16Ah)",4622
1452,"Аккумулятор Delta CT 1220.1 (AGM, 20Ah)",4622
1456,"Аккумулятор Delta CT 1209.1 (AGM, 9Ah)",4622
1458,"Аккумулятор Delta DT 12120 (AGM, 120Ah)",
1462,"Аккумулятор Fiamm 12FGL80 (AGM, 120Ah)",4634
1463,"Аккумулятор Fiamm  FG2C00 (AGM, 120Ah)",4634
1464,"Аккумулятор MNB MM 120-12 (AGM, 120Ah)",4656
1465,"Аккумулятор MNB MNG 120-12 для ИБП (GEL, 120Ah)",4656
1470,"Аккумулятор MNB MR 125-12FT (AGM, 125Ah)",4656
1472,"Аккумулятор Casil CA 12120 (AGM, 12Ah)",4618
1473,"Аккумулятор Casil CA 6120 (AGM, 12Ah)",4618
1478,"Аккумулятор Delta DTM 612 (AGM, 12Ah)",4622
1483,"Аккумулятор Fiamm 12FGH50 (AGM, 12Ah)",4634
1484,"Аккумулятор Fiamm 12FGHL48 (AGM, 12Ah)",4634
1485,"Аккумулятор Fiamm FG11201 (AGM, 12Ah)",4634
1486,"Аккумулятор Fiamm FG11202 (AGM, 12Ah)",4634
1487,"Аккумулятор Fiamm FG21201 (AGM, 12Ah)",4634
1490,"Аккумулятор MNB MS 12-6 F1 (AGM, 12Ah)",4656
