Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение,exclusion_reasons,selection_rule_version
742,"Аккумулятор EnerSys Cyclon X Cell (AGM, 5 Ah, 2V)",,КА-00005195,,"EnerSys Cyclon X Cell (AGM, 5 Ah, 2V)",CELLAGM5AH,yes,0.95,sig+brand,КА-00005195,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1191,"Аккумулятор Robiton VRLA4-3 (AGM, 3Ah)",,ФР-00000662,A3,"Аккумулятор ROBITON VRLA 4-3(4V 3Ah), страна изг-ль Китай, из России",ROBITONVRLA43,yes,0.6,sig+brand+generic,ФР-00000662,agree,confidence_not_0_95;generic_match_method,rb-1c-review-v1
1398,"Аккумулятор Delta DTM 12008 (AGM, 0.8Ah)",,КА-00001149,О1.2.52.29.,Аккумуляторная батарея Delta DTM12008 05M4421 /Китай/,DELTADTM12008,yes,0.6,sig+brand+generic,КА-00001149,agree,confidence_not_0_95;generic_match_method,rb-1c-review-v1
1403,"Аккумулятор Delta DTM 12012 (AGM, 1.2Ah)",,КА-00002072,П2.1.52.29.,"Аккумуляторная батарея DTM 12012 Delta, WWQI8CH /Вьетнам/",DTM12012,yes,0.6,sig+brand+generic,КА-00002072,agree,confidence_not_0_95;generic_match_method,rb-1c-review-v1
1412,"Аккумулятор MNB MS 1.3-12 F1 (AGM, 1.3Ah)",,ФР-00001351,,"Аккумулятор MHB MS 1.3-12, Китай",MS1312,no,0.85,sig,ФР-00001351,agree,confidence_not_0_95;brand_not_confirmed,rb-1c-review-v1
1416,"Аккумулятор Ventura GP 6-1.3 (AGM, 1.3Ah)",4687,КА-00002376,О2.1.,Аккумулятор Ventura GP 6-4.5 (6V/4.5Ah),VENTURAGP6,no,0.6,sig+generic,,new,confidence_not_0_95;brand_not_confirmed;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1420,"Аккумулятор Delta DTM 12100 L (AGM, 100Ah)",,КА-00002549,,"Аккумуляторная батарея Delta DTM 12100 L, страна происхождения товара Вьетнам, страна ввоза Россия",DELTADTM12100L,yes,0.95,sig+brand,КА-00003843,differ,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1421,"Аккумулятор Delta FTS 12-100X (AGM, 100Ah)",,КА-00006757,,Аккумуляторная батарея Delta FTS 12-100 X /Китай/,FTS12100X,yes,0.95,sig+brand,КА-00005119,differ,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1422,"Аккумулятор Delta HRL 12-100 (AGM, 100Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1423,"Аккумулятор Delta HRL 12-470W (AGM, 100Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1429,"Аккумулятор Fiamm 12FGL100 (AGM, 100Ah)",4634,КА-00007132,,Аккумулятор свинцово-кислотный Fiamm12FGL100 12V100AH /Китай/,FIAMM12FGL100,no,0.95,sig,КА-00007132,agree,brand_not_confirmed,rb-1c-review-v1
1436,"Аккумулятор Ventura FT 12-100 для ИБП (GEL, 100Ah)",,КА-00002967,,"Аккумулятор Ventura FT 12-100, Китай",VENTURAFT12100,yes,0.6,sig+brand+generic,КА-00002967,agree,confidence_not_0_95;generic_match_method,rb-1c-review-v1
1437,"Аккумулятор Ventura GP 12-100 (AGM, 100Ah)",,КА-00001751,,"Аккумулятор Ventura GP 12-12 (12V12Ah),ВЬЕТНАМ",VENTURAGP12,yes,0.6,sig+brand+generic,КА-00000318,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1440,"Аккумулятор Delta FTS 12-105 (AGM, 105Ah)",,КА-00005743,,Аккумуляторная батарея Delta FTS 12-105 X /Китай/,DELTAFTS12105,yes,0.95,sig+brand,КА-00005743,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1442,"Аккумулятор Delta CT 1210 (AGM, 10Ah)",,КА-00004144,,Аккумуляторная батарея Delta CT 1210.1,DELTACT1210,yes,0.95,sig+brand,КА-00004144,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1443,"Аккумулятор Ventura HR 1251W (AGM, 10Ah)",4687,КА-00005708,,"Внешний батарейный блок APC SRT192BP2 (AGM, 10Ah)",AGM10AH,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1446,"Аккумулятор Delta CT 1210.1 (AGM, 10Ah)",,КА-00004144,,Аккумуляторная батарея Delta CT 1210.1,DELTACT12101,yes,0.95,sig+brand,КА-00004144,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1453,"Аккумулятор Delta CT 1205.1 (AGM, 5Ah)",4622,КА-00005195,,"EnerSys Cyclon X Cell (AGM, 5 Ah, 2V)",AGM5AH,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1454,"Аккумулятор Delta CT 1207.1 (AGM, 7Ah)",,ФР-00000859,,CT 1207 Delta Аккумуляторная батарея,CT1207,yes,0.95,sig+brand,ФР-00000859,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1455,"Аккумулятор Delta CT 1207.2 (AGM, 7Ah)",,ФР-00000859,,CT 1207 Delta Аккумуляторная батарея,CT1207,yes,0.95,sig+brand,ФР-00000859,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
1459,"Аккумулятор Delta DTM 12120 L (AGM, 120Ah)",,КА-00003648,,"Аккумуляторная батарея DTM 12120 l Delta, DUASI4X /Китай/",DTM12120L,yes,0.6,sig+brand+generic,КА-00000260,differ,confidence_not_0_95;generic_match_method,rb-1c-review-v1
