product_external_id,category_external_id,technology
ФР-00000005,410,AGM
КА-00002695,410,AGM
ФР-00000029,410,AGM
ФР-00000243,410,AGM
ФР-00000233,410,AGM
ФР-00000050,410,AGM
КА-00002167,410,AGM
КА-00002597,410,AGM
ФР-00001191,410,AGM
КА-00001752,410,AGM
ФР-00000162,410,AGM
КА-00001750,410,AGM
ФР-00000147,410,AGM
ФР-00000030,410,AGM
ФР-00000145,410,AGM
ФР-00000091,410,AGM
ФР-00000946,410,AGM
ФР-00000031,410,AGM
ФР-00000414,410,AGM
ФР-00001872,410,AGM
ФР-00000240,410,AGM
ФР-00000163,410,AGM
КА-00002368,410,AGM
