review_priority,group_key,one_c_external_id,one_c_name,legacy_element_id,legacy_name,legacy_url_candidate,match_method,match_score,comparison_status,legacy_text_sha256,review_decision
1,one_c:КА-00001380,КА-00001380,,1526,"Аккумулятор B.B. Battery BC 17-12 (AGM, 17Ah)",/catalog/akkumulyatory/dlya_ibp/agm/1526/,sig+brand,0.95,agree,2e3ad8727d16b3fd855fd02e5830e664d966337fb9dbb988a6b23cd48ca03a18,review_exact_identity_candidate
2,one_c:КА-00001615,КА-00001615,,1479,"Аккумулятор Delta HR 12-12 (AGM, 12Ah)",/catalog/akkumulyatory/dlya_ibp/agm/1479/,sig+brand,0.95,agree,8fe92647cb7246438ab14a7c839bb3c7d9a7784dcd9e608a451c616ea34981aa,review_exact_identity_candidate
3,one_c:КА-00001863,КА-00001863,,20148,"Аккумулятор Delta FT 12-50 M (AGM, 50Ah)",/catalog/akkumulyatory/dlya_ibp/agm/20148/,sig+brand,0.95,agree,caf15254b48524806a8496bb540b8e9d646b92edded640302ade241fde18fb86,review_exact_identity_candidate
4,one_c:КА-00001864,КА-00001864,,1619,"Аккумулятор Ventura FT 12-50 для ИБП (GEL, 50Ah)",/catalog/akkumulyatory/dlya_ibp/gelevye/1619/,sig+brand,0.95,agree,31616652c5b5f07c9b0aff7e83e36da59bc1f03ee1b78aa72e822607a68b5c1c,review_exact_identity_candidate
5,one_c:КА-00001895,КА-00001895,,1481,"Аккумулятор Delta HR 6-12 (AGM, 12Ah)",/catalog/akkumulyatory/dlya_ibp/agm/1481/,sig+brand,0.95,agree,9cf0134df330c5c22dab806f7fc0e92bae3d7dbaad8421952b885029a2c966dc,review_exact_identity_candidate
6,one_c:КА-00002074,КА-00002074,,1796,"Аккумулятор CSB HR1221W F2 (AGM, 5Ah)",/catalog/akkumulyatory/dlya_ibp/agm/1796/,sig+brand,0.95,agree,f222dfdad136b3a9a30eaa8f85ce4083c25d166a3097fdf9b55f7443aef410cf,review_exact_identity_candidate
7,one_c:КА-00002317,КА-00002317,,20151,"Аккумулятор Delta FT 12-125 M (AGM, 125Ah)",/catalog/akkumulyatory/dlya_ibp/agm/20151/,sig+brand,0.95,agree,d6554d9de1235648708fc0a81255bd3715ca547d54e108626f728756fcc5730e,review_exact_identity_candidate
8,one_c:КА-00002376,КА-00002376,,1607,"Аккумулятор Ventura GP 6-4.5 (AGM, 4.5Ah)",/catalog/akkumulyatory/dlya_ibp/agm/1607/,sig+brand,0.95,agree,ae8ca8aacab0f65e91573a705abc7060b516f7efdc78590b72c7e68cd94f0fac,review_exact_identity_candidate
9,one_c:КА-00002549,КА-00002549,,20116,"Аккумулятор Delta DTM 12100 I (AGM, 100Ah)",/catalog/akkumulyatory/dlya_ibp/agm/20116/,sig+brand,0.95,agree,8fe908551ea7fae3d11c5abad5430912647437e0d44272f999d0890bf1f66150,review_exact_identity_candidate
10,one_c:КА-00002670,КА-00002670,,3258,"Аккумулятор CSB HRL1234W F2FR (AGM, 9Ah)",/catalog/akkumulyatory/dlya_ibp/agm/3258/,sig+brand,0.95,agree,f146ae9328852cd43ae5600a138d4c7bd090bab66421a453870902191441b001,review_exact_identity_candidate
11,one_c:КА-00003226,КА-00003226,,3262,"Аккумулятор Delta HR 12-34W (AGM, 9Ah)",/catalog/akkumulyatory/dlya_ibp/agm/3262/,sig+brand,0.95,agree,b9868a9299adb76410b47e6b92688c05269bcf64103eb898661b815b01a3fdad,review_exact_identity_candidate
12,one_c:КА-00003548,КА-00003548,,2998,"Аккумулятор Yuasa NP 4-12 (AGM, 4Ah)",/catalog/akkumulyatory/dlya_ibp/agm/2998/,sig+brand,0.95,agree,ac11595a7c8fac17955fa050843698bcfbe4d65cdc1895563208f86bf09da34c,review_exact_identity_candidate
13,one_c:КА-00003848,КА-00003848,,3118,"Аккумулятор Fiamm 12FIT60 (AGM, 60Ah)",/catalog/akkumulyatory/dlya_ibp/agm/3118/,sig+brand,0.95,agree,721e9003a51e400bcda819779cb95ba6187503bddbbffe078cd6c723f27cbf83,review_exact_identity_candidate
14,one_c:КА-00003890,КА-00003890,,1611,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah)",/catalog/akkumulyatory/dlya_ibp/agm/1611/,sig+brand,0.95,agree,df94438a396157a9dba640324a1646a883c4ec2488bab74614c6b6fb29fdccd3,review_exact_identity_candidate
15,one_c:КА-00004141,КА-00004141,,3027,"Аккумулятор CSB GP12400 (AGM, 40Ah)",/catalog/akkumulyatory/dlya_ibp/agm/3027/,sig+brand,0.95,agree,7564b8dd13ffab6100b31b89b4ca7ba0923ce5f286bb79ac72c975dedb886c42,review_exact_identity_candidate
16,one_c:КА-00004972,КА-00004972,,1522,"Аккумулятор Ventura HRL 12650W (AGM, 160Ah)",/catalog/akkumulyatory/dlya_ibp/agm/1522/,sig+brand,0.95,agree,10cc61fef9e2517f7965cf83660fab9f1d3d6ca0e6393a406803485fac0e4c9c,review_exact_identity_candidate
17,one_c:КА-00005195,КА-00005195,,742,"Аккумулятор EnerSys Cyclon X Cell (AGM, 5 Ah, 2V)",/catalog/akkumulyatory/promyshlennye/742/,sig+brand,0.95,agree,0233842693b705d51687ea71e6e84d4f6c514d16572b712b800161587085a625,review_exact_identity_candidate
