product_external_id,category_external_id
КА-00000063,409
КА-00000063,414
КА-00000141,410
КА-00000260,410
КА-00000302,410
КА-00000316,410
КА-00000317,410
КА-00000347,908
КА-00000423,410
КА-00001027,410
КА-00001029,410
КА-00001062,410
КА-00001063,410
КА-00001147,410
КА-00001149,410
КА-00001251,410
КА-00001342,410
КА-00001343,410
КА-00001362,410
КА-00001363,409
КА-00001364,410
КА-00001365,414
КА-00001366,414
КА-00001368,410
КА-00001374,410
КА-00001379,410
КА-00001380,410
КА-00001392,410
КА-00001605,414
КА-00001615,410
КА-00001618,410
КА-00001624,410
КА-00001647,410
КА-00001751,410
КА-00001752,410
КА-00001753,410
КА-00001852,410
КА-00001855,410
КА-00001857,410
КА-00001863,410
КА-00001864,411
КА-00001894,410
КА-00001895,410
КА-00001920,410
КА-00001964,410
КА-00001967,410
КА-00002003,410
КА-00002048,410
КА-00002055,410
КА-00002061,410
КА-00002072,410
КА-00002073,410
КА-00002074,410
КА-00002075,410
КА-00002130,410
КА-00002167,410
КА-00002209,410
КА-00002238,410
КА-00002317,410
КА-00002317,908
КА-00002368,410
КА-00002376,410
КА-00002467,410
КА-00002491,410
КА-00002535,410
КА-00002536,410
КА-00002549,410
КА-00002593,410
КА-00002596,411
КА-00002597,410
КА-00002622,410
КА-00002649,410
КА-00002661,410
КА-00002670,410
КА-00002695,410
КА-00002765,410
КА-00002769,410
КА-00002805,411
КА-00002817,410
КА-00002856,411
КА-00002880,410
КА-00002967,411
КА-00003026,410
КА-00003031,908
КА-00003136,410
КА-00003153,410
КА-00003226,410
КА-00003227,410
КА-00003228,410
КА-00003229,410
КА-00003237,411
КА-00003238,410
КА-00003244,410
КА-00003292,410
КА-00003294,410
КА-00003294,411
КА-00003297,410
КА-00003302,410
КА-00003312,410
КА-00003347,410
КА-00003366,410
КА-00003375,410
КА-00003376,427
КА-00003397,410
КА-00003442,410
КА-00003445,410
КА-00003466,410
КА-00003468,410
КА-00003548,410
КА-00003560,410
КА-00003564,410
КА-00003579,410
КА-00003582,410
КА-00003648,410
КА-00003668,410
КА-00003669,410
КА-00003696,410
КА-00003713,411
КА-00003724,410
КА-00003736,410
КА-00003766,410
КА-00003789,411
КА-00003830,410
КА-00003832,410
КА-00003846,410
КА-00003848,410
КА-00003856,410
КА-00003883,425
КА-00003889,410
КА-00003890,410
КА-00003890,427
КА-00003893,410
КА-00003906,908
КА-00003956,425
КА-00003969,410
КА-00003988,414
КА-00003990,410
КА-00003995,425
КА-00004022,410
КА-00004091,410
КА-00004114,410
КА-00004115,410
КА-00004140,410
КА-00004141,410
КА-00004142,410
КА-00004144,410
КА-00004165,410
КА-00004176,410
КА-00004366,425
КА-00004466,410
КА-00004518,410
КА-00004693,410
КА-00004758,410
КА-00004855,411
КА-00004895,414
КА-00004962,410
КА-00004972,410
КА-00004981,410
КА-00005066,410
КА-00005082,425
КА-00005119,410
КА-00005139,411
КА-00005139,415
КА-00005164,410
КА-00005187,410
КА-00005195,410
КА-00005195,427
КА-00005276,414
КА-00005320,410
КА-00005338,410
КА-00005467,410
КА-00005514,411
КА-00005523,410
КА-00005563,410
КА-00005572,411
КА-00005636,425
КА-00005686,410
КА-00005708,410
КА-00005713,410
КА-00005734,425
КА-00005743,410
КА-00005756,425
КА-00005764,410
КА-00005774,410
КА-00005816,410
КА-00005829,410
КА-00005830,410
КА-00005871,410
КА-00005894,410
КА-00005894,427
КА-00006069,410
КА-00006757,410
КА-00006758,410
КА-00006872,425
КА-00006874,414
КА-00006962,410
КА-00007113,427
КА-00007126,410
КА-00007132,410
ФР-00000005,410
ФР-00000029,410
ФР-00000030,410
ФР-00000031,410
ФР-00000050,410
ФР-00000052,410
ФР-00000091,410
ФР-00000106,410
ФР-00000145,410
ФР-00000146,410
ФР-00000147,410
ФР-00000162,410
ФР-00000163,410
ФР-00000233,410
ФР-00000240,410
ФР-00000243,410
ФР-00000273,410
ФР-00000295,410
ФР-00000381,410
ФР-00000414,410
ФР-00000415,410
ФР-00000462,410
ФР-00000471,410
ФР-00000537,410
ФР-00000662,410
ФР-00000703,414
ФР-00000748,410
ФР-00000859,410
ФР-00000902,410
ФР-00000946,410
ФР-00001000,410
ФР-00001089,410
ФР-00001144,410
ФР-00001154,411
ФР-00001191,410
ФР-00001351,410
ФР-00001438,410
ФР-00001439,410
ФР-00001468,410
ФР-00001513,410
ФР-00001702,410
ФР-00001785,410
ФР-00001872,410
ФР-00001873,410
ФР-00001875,410
ФР-00001954,410
ФР-00002021,410
ФР-00002108,410
ФР-00002109,410
ФР-00002111,410
ФР-00002172,410
ФР-00002243,410
ФР-00002278,410
