external_id,parent_external_id,name,path
409,,Для ИБП,catalog/akkumulyatory/dlya_ibp
1125,,Для ИБП,catalog/akkumulyatory/dlya_ibp9002
427,,Промышленные аккумуляторы,catalog/akkumulyatory/promyshlennye
1123,,Промышленные аккумуляторы,catalog/akkumulyatory/promyshlennye7593
425,,Источники бесперебойного питания,catalog/istochniki-pitaniya/ibp
1135,,Источники бесперебойного питания,catalog/istochniki-pitaniya/ibp483
410,409,AGM,catalog/akkumulyatory/dlya_ibp/agm
411,409,GEL,catalog/akkumulyatory/dlya_ibp/gelevye
415,409,OPzS,catalog/akkumulyatory/dlya_ibp/opzs
906,427,Для касс,catalog/akkumulyatory/promyshlennye/dlya-kass
482,427,Для медицинской техники,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki
488,427,Для пультов управления,catalog/akkumulyatory/promyshlennye/dlya-pultov-upravleniya
835,427,Для сигнализаций,catalog/akkumulyatory/promyshlennye/dlya-signalizatsiy
484,427,Для сканеров штрих-кодов и терминалов,catalog/akkumulyatory/promyshlennye/dlya-skanerov-shtrikh-kodov-i-terminalov
908,427,Для телекоммуникаций,catalog/akkumulyatory/promyshlennye/dlya-telekommunikatsiy
401,427,Для раций (радиостранций),catalog/akkumulyatory/promyshlennye/dlya_ratsiy
414,427,Для резервного питания,catalog/akkumulyatory/promyshlennye/dlya_rezervnogo_pitaniya
416,427,Железо-никелевые,catalog/akkumulyatory/promyshlennye/zhelezo-nikelevye
624,482,3Gen,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/3gen
625,482,Abbott,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/abbott
823,482,Acare,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/acare
626,482,Aeonmed,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aeonmed
627,482,Agilent,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/agilent
628,482,Ahram Biosystems,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ahram-biosystems
629,482,Air Shields-Vickers,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/air-shields-vickers
630,482,Alaris,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/alaris
631,482,ADC,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/american-diagnostic-corporation
632,482,Amico,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/amico
633,482,AMPall,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ampall
634,482,Angel,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/angel
824,482,Annol,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/annol
831,482,Anritsu,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/anritsu
635,482,AOLI,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aoli
636,482,Arcomed,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/arcomed
637,482,Asena,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/asena
649,482,Aspect Medical Systems,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aspect-medical-systems
638,482,Atmos,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/atmos
639,482,ATYS,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/atys
640,482,B. Braun,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun
641,482,BCI,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bci
642,482,Bellavista,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bellavista
643,482,Biocare,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/biocare
644,482,Biohit,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/biohit
645,482,Biolat,catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/biolat
