external_id,reason
КА-00003205,ambiguous_or_out_of_scope_taxonomy
ФР-00001871,duplicate_current_brand_model_identity
КА-00003397,duplicate_current_brand_model_identity
ФР-00000005,duplicate_current_brand_model_identity
ФР-00000462,current_name_missing_brand_or_identity
КА-00002003,current_name_missing_brand_or_identity
КА-00003582,duplicate_current_brand_model_identity
КА-00001147,duplicate_current_brand_model_identity
КА-00005067,ambiguous_or_out_of_scope_taxonomy
ФР-00002021,duplicate_current_brand_model_identity
КА-00005348,ambiguous_or_out_of_scope_taxonomy
ФР-00001928,ambiguous_or_out_of_scope_taxonomy
ФР-00000559,ambiguous_or_out_of_scope_taxonomy
ФР-00000561,ambiguous_or_out_of_scope_taxonomy
ФР-00001861,ambiguous_or_out_of_scope_taxonomy
КА-00003185,ambiguous_or_out_of_scope_taxonomy
ФР-00001649,duplicate_current_brand_model_identity
КА-00002910,ambiguous_or_out_of_scope_taxonomy
КА-00001751,duplicate_current_brand_model_identity
КА-00003204,ambiguous_or_out_of_scope_taxonomy
КА-00004014,duplicate_current_brand_model_identity
КА-00004337,duplicate_current_brand_model_identity
КА-00003478,duplicate_current_brand_model_identity
КА-00004707,current_name_missing_brand_or_identity
КА-00001996,missing_stable_identity_or_manufacturer
ФР-00001353,missing_stable_identity_or_manufacturer
КА-00005492,duplicate_current_brand_model_identity
КА-00006648,duplicate_current_brand_model_identity
КА-00006930,duplicate_current_brand_model_identity
КА-00005045,current_name_missing_brand_or_identity
КА-00003529,duplicate_current_brand_model_identity
КА-00004403,duplicate_current_brand_model_identity
КА-00003098,duplicate_current_brand_model_identity
КА-00006446,duplicate_current_brand_model_identity
КА-00004287,duplicate_current_brand_model_identity
КА-00004305,duplicate_current_brand_model_identity
КА-00004306,duplicate_current_brand_model_identity
КА-00004385,duplicate_current_brand_model_identity
КА-00004519,duplicate_current_brand_model_identity
КА-00004272,duplicate_current_brand_model_identity
КА-00005697,duplicate_current_brand_model_identity
КА-00006412,duplicate_current_brand_model_identity
КА-00005085,duplicate_current_brand_model_identity
КА-00006850,duplicate_current_brand_model_identity
КА-00006706,duplicate_current_brand_model_identity
КА-00006529,duplicate_current_brand_model_identity
КА-00002596,current_name_missing_brand_or_identity
КА-00004677,duplicate_current_brand_model_identity
КА-00005635,duplicate_current_brand_model_identity
КА-00003501,duplicate_current_brand_model_identity
КА-00001245,duplicate_current_brand_model_identity
КА-00004819,duplicate_current_brand_model_identity
КА-00006309,duplicate_current_brand_model_identity
КА-00005870,duplicate_current_brand_model_identity
КА-00002316,duplicate_current_brand_model_identity
КА-00002071,duplicate_current_brand_model_identity
КА-00006882,duplicate_current_brand_model_identity
КА-00006558,duplicate_current_brand_model_identity
КА-00003195,duplicate_current_brand_model_identity
КА-00006647,duplicate_current_brand_model_identity
КА-00002043,duplicate_current_brand_model_identity
КА-00006607,duplicate_current_brand_model_identity
КА-00001476,duplicate_current_brand_model_identity
КА-00003538,duplicate_current_brand_model_identity
КА-00006604,duplicate_current_brand_model_identity
КА-00002545,duplicate_current_brand_model_identity
КА-00006600,duplicate_current_brand_model_identity
КА-00004665,duplicate_current_brand_model_identity
КА-00006281,duplicate_current_brand_model_identity
КА-00006002,duplicate_current_brand_model_identity
КА-00002588,duplicate_current_brand_model_identity
КА-00003121,duplicate_current_brand_model_identity
КА-00001987,duplicate_current_brand_model_identity
КА-00004664,duplicate_current_brand_model_identity
КА-00005579,missing_stable_identity_or_manufacturer
ФР-00001290,duplicate_current_brand_model_identity
КА-00005434,missing_stable_identity_or_manufacturer
КА-00002237,missing_stable_identity_or_manufacturer
КА-00001458,missing_stable_identity_or_manufacturer
КА-00006847,ambiguous_or_out_of_scope_taxonomy
КА-00002669,duplicate_current_brand_model_identity
ФР-00002310,duplicate_current_brand_model_identity
КА-00005295,duplicate_current_brand_model_identity
КА-00002920,duplicate_current_brand_model_identity
КА-00002968,duplicate_current_brand_model_identity
КА-00001557,duplicate_current_brand_model_identity
КА-00001552,duplicate_current_brand_model_identity
КА-00001556,duplicate_current_brand_model_identity
ФР-00001951,duplicate_current_brand_model_identity
ФР-00002013,duplicate_current_brand_model_identity
