external_id,model,existing_external_id,existing_mpn,reason
bitrix:1421,FTS 12-100X,КА-00006757,FTS 12-100 X,existing_product_identity
bitrix:2972,DTM 1233 L,КА-00002816,DTM 1233 L,existing_product_identity
bitrix:1477,DTM 1212,ФР-00001279,DTM 1212,existing_product_identity
bitrix:20141,HRL 12-55 X,КА-00005563,HRL 12-55 X,existing_product_identity
bitrix:20150,FT 12-105 M,КА-00002602,FT 12-105 M,existing_product_identity
bitrix:20152,FT 12-150 M,КА-00001614,FT 12-150 M,existing_product_identity
bitrix:3060,DTM 1205,ФР-00000210,DTM 1205,existing_product_identity
bitrix:3174,DTM 1207,ФР-00000416,DTM 1207,existing_product_identity
bitrix:3213,DTM 1275 L,КА-00004022,DTM 1275 L,existing_product_identity
bitrix:3261,DTM 1209,ФР-00000182,DTM 1209,existing_product_identity
