product_external_id,category_external_id,chemistry
ФР-00002172,410,AGM
КА-00005764,410,AGM
КА-00004114,410,AGM
КА-00003889,410,AGM
ФР-00001439,410,AGM
ФР-00002021,410,AGM
КА-00003136,410,AGM
КА-00005572,411,GEL
КА-00003228,410,AGM
КА-00004091,410,AGM
ФР-00001513,410,AGM
КА-00003696,410,AGM
КА-00005523,410,AGM
ФР-00001154,411,GEL
КА-00002003,410,AGM
КА-00005514,411,GEL
КА-00003397,410,AGM
КА-00004855,411,GEL
КА-00002048,410,AGM
КА-00003227,410,AGM
КА-00003442,410,AGM
ФР-00000106,410,AGM
КА-00001967,410,AGM
КА-00001147,410,AGM
КА-00003582,410,AGM
КА-00003856,410,AGM
ФР-00000462,410,AGM
