Bitrix ID,Название (как на сайте),Ссылка на сайте,Категория (предложено),Цена BYN,В наличии,Бренд? (кандидат),MPN? (кандидат),1С/supplier ID (из 1С),SKU (из 1С),MPN подтв. (из 1С),Категория подтв. (из 1С)
3219,"Аккумулятор  MNB MM 75-12 (AGM, 75Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/3219/,akb-dlya-ibp,439.5,Y,MNB,MM 75-12,,,,
23803,"Аккумулятор APC APCRBC152 (AGM, 48V, 36Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23803/,akb-dlya-ibp,2250,Y,APC,APCRBC152,,,,
20105,"Аккумулятор APC RBC105 (AGM, 72Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20105/,akb-dlya-ibp,2230.8,Y,APC,RBC105,,,,
20104,"Аккумулятор APC RBC106 (AGM, 6Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20104/,akb-dlya-ibp,254.8,Y,APC,RBC106,,,,
23844,"Аккумулятор APC RBC109 (AGM, 9Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23844/,akb-dlya-ibp,350,Y,APC,RBC109,,,,
20094,"Аккумулятор APC RBC110 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20094/,akb-dlya-ibp,348.9,Y,APC,RBC110,,,,
23804,"Аккумулятор APC RBC116 (AGM, 36Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23804/,akb-dlya-ibp,790,Y,APC,RBC116,,,,
23800,"Аккумулятор APC RBC12 (AGM, 56Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23800/,akb-dlya-ibp,2670,Y,APC,RBC12,,,,
20103,"Аккумулятор APC RBC123 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20103/,akb-dlya-ibp,380.85,Y,APC,RBC123,,,,
20102,"Аккумулятор APC RBC124 (AGM, 9Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20102/,akb-dlya-ibp,426.9,Y,APC,RBC124,,,,
20101,"Аккумулятор APC RBC140 (AGM, 5.5Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20101/,akb-dlya-ibp,3600.1,Y,APC,RBC140,,,,
23807,"Аккумулятор APC RBC142 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23807/,akb-dlya-ibp,685,Y,APC,RBC142,,,,
20093,"Аккумулятор APC RBC143 (AGM, 5Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20093/,akb-dlya-ibp,1765.7,Y,APC,RBC143,,,,
23806,"Аккумулятор APC RBC148 (AGM, 34Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23806/,akb-dlya-ibp,1280,Y,APC,RBC148,,,,
23817,"Аккумулятор APC RBC150 (GEL, 36Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/gelevye/23817/,akb-dlya-ibp,1230,Y,APC,RBC150,,,,
23816,"Аккумулятор APC RBC151 (GEL, 40Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/gelevye/23816/,akb-dlya-ibp,1270,Y,APC,RBC151,,,,
20100,"Аккумулятор APC RBC17 (AGM, 9Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20100/,akb-dlya-ibp,298.8,Y,APC,RBC17,,,,
23843,"Аккумулятор APC RBC18 (AGM, 9Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23843/,akb-dlya-ibp,780,Y,APC,RBC18,,,,
20092,"Аккумулятор APC RBC2 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20092/,akb-dlya-ibp,285.6,Y,APC,RBC2,,,,
20099,"Аккумулятор APC RBC22 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20099/,akb-dlya-ibp,705.3,Y,APC,RBC22,,,,
23799,"Аккумулятор APC RBC23 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23799/,akb-dlya-ibp,1990,Y,APC,RBC23,,,,
23842,"Аккумулятор APC RBC25 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23842/,akb-dlya-ibp,1730,Y,APC,RBC25,,,,
23798,"Аккумулятор APC RBC27 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23798/,akb-dlya-ibp,1320,Y,APC,RBC27,,,,
23811,"Аккумулятор APC RBC31 (AGM, 9Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23811/,akb-dlya-ibp,790,Y,APC,RBC31,,,,
23797,"Аккумулятор APC RBC32 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23797/,akb-dlya-ibp,510,Y,APC,RBC32,,,,
