product_external_id,legacy_model_token,legacy_pack_variant_key,reason
bitrix:767,BR2/3AGCT4A,Батарейка Panasonic BR2/3AGCT4A,live_catalogue_model_core_identity_blocker
bitrix:768,BR2/3AH,Батарейка Panasonic BR2/3AH,live_catalogue_model_core_identity_blocker
bitrix:4004,BR1/2AAE2PN,Батарейка Panasonic BR1/2AAE2PN,live_catalogue_model_core_identity_blocker
bitrix:4005,BR1/2AAE5PN,Батарейка Panasonic BR1/2AAE5PN,live_catalogue_model_core_identity_blocker
bitrix:4013,BR1225A/FAN,Батарейка Panasonic BR1225A/FAN,live_catalogue_transfer_status_hold_one_c_collision
bitrix:4014,BR1225A/HBN,Батарейка Panasonic BR1225A/HBN,live_catalogue_transfer_status_hold_one_c_collision
bitrix:4021,BR2/3AE2SPN,Батарейка Panasonic BR2/3AE2SPN,live_catalogue_product_missing
bitrix:4022,BR2/3AGN,Батарейка Panasonic BR2/3AGN,live_catalogue_model_core_identity_blocker
bitrix:4023,BR2/3AN,Батарейка Panasonic BR2/3AN,live_catalogue_model_core_identity_blocker
bitrix:4024,BR2/3AT2SPN,Батарейка Panasonic BR2/3AT2SPN,live_catalogue_model_core_identity_blocker
bitrix:4025,BR2/3AY4PN,Батарейка Panasonic BR2/3AY4PN,live_catalogue_model_core_identity_blocker
bitrix:4045,BR2330A/FAN,Батарейка Panasonic BR2330A/FAN,live_catalogue_transfer_status_hold_one_c_collision
bitrix:4046,BR2330A/GAN,Батарейка Panasonic BR2330A/GAN,live_catalogue_transfer_status_hold_one_c_collision
bitrix:4047,BR2330A/HDN,Батарейка Panasonic BR2330A/HDN,live_catalogue_transfer_status_hold_one_c_collision
bitrix:4048,BR2330A/VAN,Батарейка Panasonic BR2330A/VAN,live_catalogue_transfer_status_hold_one_c_collision
bitrix:4049,BR2450A/FAN,Батарейка Panasonic BR2450A/FAN,no_exact_model_core_in_pinned_official_tables
bitrix:4050,BR2450A/HAN,Батарейка Panasonic BR2450A/HAN,no_exact_model_core_in_pinned_official_tables
bitrix:4058,BR425,Батарейка Panasonic BR425,no_exact_model_core_in_pinned_official_tables
bitrix:4059,BR435,Батарейка Panasonic BR435,no_exact_model_core_in_pinned_official_tables
bitrix:4075,CR123APE/BN,Батарейка Panasonic CR123APE/BN 1S,live_catalogue_model_core_identity_blocker
bitrix:4076,CR123,Батарейка Panasonic CR123А Photo Power 1BP,no_exact_model_core_in_pinned_official_tables
bitrix:4077,CR1612,Батарейка Panasonic CR1612 5BP,no_exact_model_core_in_pinned_official_tables
bitrix:4078,CR1612,Батарейка Panasonic CR1612 1BP,no_exact_model_core_in_pinned_official_tables
bitrix:4117,CR2032L/F1N,Батарейка Panasonic CR2032L/F1N,no_exact_model_core_in_pinned_official_tables
bitrix:4140,CR2PE/BN,Батарейка Panasonic CR2PE/BN 1BP,live_catalogue_model_core_identity_blocker
bitrix:4142,CR123APA/B,Батарейка Panasonic CR123APA/B 1S,live_catalogue_model_core_identity_blocker
bitrix:4159,CR2430,Батарейка Panasonic Lithium Power CR2430 1BP,no_exact_model_core_in_pinned_official_tables
bitrix:23926,CR1/3N,Батарейка CR1/3N для PLC Panasonic 1S,no_exact_model_core_in_pinned_official_tables
