product_external_id;source;source_price;currency;observed_at;source_reference;source_external_id;multiplier;price_type
КА-00001147;legacy_site;15;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1556;1556;1;legacy_public_price
КА-00001752;legacy_site;26.8;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1797;1797;1;legacy_public_price
КА-00001967;legacy_site;91;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1520;1520;1;legacy_public_price
КА-00002003;legacy_site;1388;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/2752;2752;1;legacy_public_price
КА-00002048;legacy_site;38;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1628;1628;1;legacy_public_price
КА-00002368;legacy_site;70;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/24447;24447;1;legacy_public_price
КА-00002597;legacy_site;34;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1615;1615;1;legacy_public_price
КА-00002695;legacy_site;20;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1415;1415;1;legacy_public_price
КА-00003136;legacy_site;19;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1511;1511;1;legacy_public_price
КА-00003227;legacy_site;413;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1632;1632;1;legacy_public_price
КА-00003228;legacy_site;777.5;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1516;1516;1;legacy_public_price
КА-00003397;legacy_site;32.5;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1457;1457;1;legacy_public_price
КА-00003442;legacy_site;13;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1409;1409;1;legacy_public_price
КА-00003582;legacy_site;337;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1590;1590;1;legacy_public_price
КА-00003696;legacy_site;1275;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1563;1563;1;legacy_public_price
КА-00003856;legacy_site;90;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1614;1614;1;legacy_public_price
КА-00003889;legacy_site;642;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1469;1469;1;legacy_public_price
КА-00004091;legacy_site;1094;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1532;1532;1;legacy_public_price
КА-00004114;legacy_site;735;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1430;1430;1;legacy_public_price
КА-00004142;legacy_site;624;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3028;3028;1;legacy_public_price
КА-00004855;legacy_site;1245;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1564;1564;1;legacy_public_price
КА-00005514;legacy_site;624;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1439;1439;1;legacy_public_price
КА-00005523;legacy_site;225;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1581;1581;1;legacy_public_price
КА-00005572;legacy_site;956;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1515;1515;1;legacy_public_price
КА-00005764;legacy_site;12;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1404;1404;1;legacy_public_price
КА-00005871;legacy_site;226.3;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/20162;20162;1;legacy_public_price
ФР-00000005;legacy_site;20;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1401;1401;1;legacy_public_price
ФР-00000029;legacy_site;11;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1417;1417;1;legacy_public_price
ФР-00000030;legacy_site;18;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/2955;2955;1;legacy_public_price
ФР-00000031;legacy_site;38;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3155;3155;1;legacy_public_price
ФР-00000050;legacy_site;27;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1548;1548;1;legacy_public_price
ФР-00000091;legacy_site;17;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3005;3005;1;legacy_public_price
ФР-00000145;legacy_site;30;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3003;3003;1;legacy_public_price
ФР-00000147;legacy_site;32;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/2951;2951;1;legacy_public_price
ФР-00000162;legacy_site;605.5;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/2768;2768;1;legacy_public_price
ФР-00000163;legacy_site;43.5;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3273;3273;1;legacy_public_price
ФР-00000233;legacy_site;35;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1476;1476;1;legacy_public_price
ФР-00000240;legacy_site;42;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3264;3264;1;legacy_public_price
ФР-00000243;legacy_site;73;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1475;1475;1;legacy_public_price
ФР-00000414;legacy_site;36;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3156;3156;1;legacy_public_price
ФР-00000462;legacy_site;88;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/2854;2854;1;legacy_public_price
ФР-00000946;legacy_site;262;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3029;3029;1;legacy_public_price
ФР-00001144;legacy_site;56;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3192;3192;1;legacy_public_price
ФР-00001154;legacy_site;195;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1692;1692;1;legacy_public_price
ФР-00001191;legacy_site;65;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1642;1642;1;legacy_public_price
ФР-00001439;legacy_site;85;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1488;1488;1;legacy_public_price
ФР-00001513;legacy_site;65.5;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1542;1542;1;legacy_public_price
ФР-00001872;legacy_site;80;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3257;3257;1;legacy_public_price
ФР-00002021;legacy_site;932;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1504;1504;1;legacy_public_price
ФР-00002172;legacy_site;7;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1400;1400;1;legacy_public_price
ФР-00002243;legacy_site;852;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/3205;3205;1;legacy_public_price
