product_external_id;source;source_price;currency;observed_at;source_reference;source_external_id;multiplier;price_type
bitrix:1138;legacy_site;110;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1138;1138;1;legacy_public_price_direct_bitrix
bitrix:1139;legacy_site;33;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1139;1139;1;legacy_public_price_direct_bitrix
bitrix:1140;legacy_site;57;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1140;1140;1;legacy_public_price_direct_bitrix
bitrix:1142;legacy_site;80;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1142;1142;1;legacy_public_price_direct_bitrix
bitrix:1143;legacy_site;973;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1143;1143;1;legacy_public_price_direct_bitrix
bitrix:1144;legacy_site;1164;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1144;1144;1;legacy_public_price_direct_bitrix
bitrix:1145;legacy_site;828;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1145;1145;1;legacy_public_price_direct_bitrix
bitrix:1147;legacy_site;85;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1147;1147;1;legacy_public_price_direct_bitrix
bitrix:1149;legacy_site;64;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1149;1149;1;legacy_public_price_direct_bitrix
bitrix:1150;legacy_site;64;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1150;1150;1;legacy_public_price_direct_bitrix
bitrix:1151;legacy_site;110;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1151;1151;1;legacy_public_price_direct_bitrix
bitrix:1152;legacy_site;1190;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1152;1152;1;legacy_public_price_direct_bitrix
bitrix:1153;legacy_site;133;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1153;1153;1;legacy_public_price_direct_bitrix
bitrix:1154;legacy_site;152;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1154;1154;1;legacy_public_price_direct_bitrix
bitrix:1155;legacy_site;152;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1155;1155;1;legacy_public_price_direct_bitrix
bitrix:1156;legacy_site;65;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1156;1156;1;legacy_public_price_direct_bitrix
bitrix:1157;legacy_site;65;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1157;1157;1;legacy_public_price_direct_bitrix
bitrix:1159;legacy_site;173;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1159;1159;1;legacy_public_price_direct_bitrix
bitrix:1160;legacy_site;69;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1160;1160;1;legacy_public_price_direct_bitrix
bitrix:1161;legacy_site;64;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1161;1161;1;legacy_public_price_direct_bitrix
bitrix:1162;legacy_site;959;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1162;1162;1;legacy_public_price_direct_bitrix
bitrix:1163;legacy_site;1621;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1163;1163;1;legacy_public_price_direct_bitrix
bitrix:1164;legacy_site;204;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1164;1164;1;legacy_public_price_direct_bitrix
bitrix:1191;legacy_site;18;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1191;1191;1;legacy_public_price_direct_bitrix
bitrix:1397;legacy_site;23;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1397;1397;1;legacy_public_price_direct_bitrix
bitrix:1398;legacy_site;20;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1398;1398;1;legacy_public_price_direct_bitrix
bitrix:1399;legacy_site;11;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1399;1399;1;legacy_public_price_direct_bitrix
bitrix:1402;legacy_site;11;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1402;1402;1;legacy_public_price_direct_bitrix
bitrix:1403;legacy_site;19;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1403;1403;1;legacy_public_price_direct_bitrix
bitrix:1405;legacy_site;35;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1405;1405;1;legacy_public_price_direct_bitrix
bitrix:1406;legacy_site;40;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1406;1406;1;legacy_public_price_direct_bitrix
bitrix:1407;legacy_site;43;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1407;1407;1;legacy_public_price_direct_bitrix
bitrix:1408;legacy_site;10;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1408;1408;1;legacy_public_price_direct_bitrix
bitrix:1410;legacy_site;9;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1410;1410;1;legacy_public_price_direct_bitrix
bitrix:1412;legacy_site;17;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1412;1412;1;legacy_public_price_direct_bitrix
bitrix:1413;legacy_site;12;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1413;1413;1;legacy_public_price_direct_bitrix
bitrix:1414;legacy_site;13;BYN;2026-06-23T00:00:00+03:00;bitrix-backup://2026-06-23/element/1414;1414;1;legacy_public_price_direct_bitrix
