product_external_id,category_external_id
КА-00001752,seo:warehouse-equipment
КА-00002167,seo:warehouse-equipment
КА-00002368,seo:warehouse-equipment
КА-00002597,seo:warehouse-equipment
КА-00002695,seo:warehouse-equipment
ФР-00000029,seo:rechargeable-cells
ФР-00000030,seo:warehouse-equipment
ФР-00000031,seo:rechargeable-cells
ФР-00000050,seo:rechargeable-cells
ФР-00000091,seo:rechargeable-cells
ФР-00000145,seo:rechargeable-cells
ФР-00000147,seo:rechargeable-cells
ФР-00000162,seo:rechargeable-cells
ФР-00000163,seo:rechargeable-cells
ФР-00000233,seo:rechargeable-cells
ФР-00000240,seo:rechargeable-cells
ФР-00000243,seo:rechargeable-cells
ФР-00000414,seo:warehouse-equipment
ФР-00000946,seo:rechargeable-cells
ФР-00001191,seo:rechargeable-cells
ФР-00001872,seo:warehouse-equipment
