cluster_id,product_external_id,manufacturer,decision,reason_code,evidence,retry_condition
b.b. battery:HR96,КА-00003466,B.B. Battery,hold,cluster_identity_conflict,"The cluster label HR9-6 conflicts with the representative 2*HR9-6 RBC18 assembly; a single-cell source cannot be applied to both.","Split and verify the exact model/assembly for each member."
b.b. battery:HR96,ФР-00001402,B.B. Battery,hold,cluster_identity_conflict,"The cluster label HR9-6 conflicts with the representative 2*HR9-6 RBC18 assembly; a single-cell source cannot be applied to both.","Split and verify the exact model/assembly for each member."
b.b. battery:HRС5,ФР-00001489,B.B. Battery,hold,series_code_conflict,"Local HRC 5.5-12 cannot be normalized to HR or HRL without an official cross-reference.","Official B.B. Battery document naming HRC 5.5-12."
b.b. battery:MPL5512,КА-00005642,B.B. Battery,hold,exact_model_source_not_located,"No exact primary B.B. Battery source was located for MPL55-12.","Official B.B. Battery product page or datasheet naming MPL55-12."
delta:CDG1233,КА-00003444,Delta,hold,series_code_conflict,"Local code CDG1233 differs from the current Delta CGD series name; it must not be silently normalized.","Official Delta document mapping CDG1233 to an exact current model."
delta:CGD12200,КА-00003564,Delta,hold,exact_model_source_not_located,"No accessible primary Delta page/datasheet was located for exact CGD 12200 in this pass.","Official Delta product page or datasheet naming CGD 12200."
delta:CGD1255,КА-00003830,Delta,hold,exact_model_source_not_located,"No accessible primary Delta page/datasheet was located for exact CGD 1255 in this pass.","Official Delta product page or datasheet naming CGD 1255."
delta:DT12022,КА-00001151,Delta,hold,exact_model_source_not_located,"No exact primary Delta source was located for DT 12022.","Official Delta product page or datasheet naming DT 12022."
delta:DT12022,КА-00001152,Delta,hold,exact_model_source_not_located,"No exact primary Delta source was located for DT 12022.","Official Delta product page or datasheet naming DT 12022."
delta:DT12022,КА-00004109,Delta,hold,exact_model_source_not_located,"No exact primary Delta source was located for DT 12022.","Official Delta product page or datasheet naming DT 12022."
delta:DT12022,КА-00005253,Delta,hold,exact_model_source_not_located,"No exact primary Delta source was located for DT 12022.","Official Delta product page or datasheet naming DT 12022."
delta:DT1218,ФР-00000317,Delta,hold,capacity_conflict,"The raw name pairs DT1218 with 12V/1.8Ah, whereas similarly spelled current Delta model naming is not sufficient to resolve this conflict.","Official Delta page or label for the exact 12V/1.8Ah model."
delta:HR1224,ФР-00001588,Delta,hold,exact_model_source_not_located,"No accessible primary Delta source was located for exact HR 12-24.","Official Delta product page or datasheet naming HR 12-24."
delta:REW1245,ФР-00001587,Delta,hold,exact_model_source_not_located,"No accessible primary Delta source was located for exact REW 12-45.","Official Delta product page or datasheet naming REW 12-45."
delta:БАТАРЕЯ2DT,КА-00007143,Delta,hold,nonstandard_model_assembly,"The local name 2DT 4045 is a nonstandard 4V assembly; no primary Delta assembly source was located.","Official Delta product page or assembly datasheet naming 2DT 4045."
