cluster_id,product_external_id,manufacturer,decision,reason_code,evidence,retry_condition
delta:CT1208,ФР-00001000,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact CT 1208 model.","Official Delta Battery product page or datasheet naming CT 1208."
delta:CT12101,ФР-00000712,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact CT 12101 model.","Official Delta Battery product page or datasheet naming CT 12101."
delta:DT12008,КА-00000043,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact DT 12008 model.","Official Delta Battery product page or datasheet naming DT 12008."
delta:DTM12120,КА-00000260,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact DTM 12120 model.","Official Delta Battery product page or datasheet naming DTM 12120."
delta:GEL12120,КА-00003918,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact GEL 12120 model.","Official Delta Battery product page or datasheet naming GEL 12120."
delta:GEL1245,ФР-00001411,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact GEL 1245 model.","Official Delta Battery product page or datasheet naming GEL 1245."
delta:GEL1245,ФР-00001425,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact GEL 1245 model.","Official Delta Battery product page or datasheet naming GEL 1245."
delta:GEL1265,КА-00004025,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact GEL 1265 model.","Official Delta Battery product page or datasheet naming GEL 1265."
delta:GX12120,КА-00003919,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact GX 12120 model.","Official Delta Battery product page or datasheet naming GX 12120."
delta:HR1218,ФР-00002271,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact HR 1218 model.","Official Delta Battery product page or datasheet naming HR 1218."
delta:HR1218,ФР-00002274,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact HR 1218 model.","Official Delta Battery product page or datasheet naming HR 1218."
delta:HR1226,КА-00005298,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact HR 1226 model.","Official Delta Battery product page or datasheet naming HR 1226."
delta:HR69,ФР-00001006,Delta,hold,exact_model_source_not_located,"No official Delta Battery product page or datasheet was located for the exact HR 69 model.","Official Delta Battery product page or datasheet naming HR 69."
delta:HRL1212,КА-00000259,Delta,hold,exact_model_source_not_located,"The exact legacy HRL 1212 suffix is not established by an official current Delta Battery source.","Official Delta Battery source naming the exact HRL 1212 variant and suffix."
delta:HRL1218,ФР-00001276,Delta,hold,exact_model_source_not_located,"The exact legacy HRL 1218 suffix is not established by an official current Delta Battery source.","Official Delta Battery source naming the exact HRL 1218 variant and suffix."
delta:HRL1226,ФР-00001275,Delta,hold,exact_model_source_not_located,"The exact legacy HRL 1226 suffix is not established by an official current Delta Battery source.","Official Delta Battery source naming the exact HRL 1226 variant and suffix."
delta:HRL1280,ФР-00000290,Delta,hold,exact_model_source_not_located,"The exact legacy HRL 1280 suffix is not established by an official current Delta Battery source.","Official Delta Battery source naming the exact HRL 1280 variant and suffix."
delta:СТ1230,КА-00001937,Delta,hold,model_code_script_ambiguous,"The local model code starts with Cyrillic С rather than Latin C; it must not be silently normalized to a different Delta CT model.","Manufacturer label or official Delta Battery document that fixes the exact Latin model code."
