cluster_id,product_external_id,manufacturer,decision,reason_code,evidence,retry_condition
pkcell:BL10,КА-00000995,PKCELL,hold,cluster_model_collision,"The cluster key BL10 is packaging, while its members are AG1, AG4 and AG6. An official generic catalogue must not be used to merge three different button-cell models.","Split to the three exact model records and locate an official PKCELL page/datasheet for each model."
pkcell:BL10,КА-00000996,PKCELL,hold,cluster_model_collision,"The cluster key BL10 is packaging, while its members are AG1, AG4 and AG6. An official generic catalogue must not be used to merge three different button-cell models.","Split to the three exact model records and locate an official PKCELL page/datasheet for each model."
pkcell:BL10,КА-00000997,PKCELL,hold,cluster_model_collision,"The cluster key BL10 is packaging, while its members are AG1, AG4 and AG6. An official generic catalogue must not be used to merge three different button-cell models.","Split to the three exact model records and locate an official PKCELL page/datasheet for each model."
fanso:CR1225VBY2,КА-00005033,FANSO,hold,exact_suffix_unverified,"Official FANSO current catalogue does not establish CR1225-VBY2, including the VBY2 terminal/pack suffix.","Official FANSO datasheet or product page naming CR1225-VBY2."
fanso:CR14250H3FP,КА-00006011,FANSO,hold,exact_suffix_unverified,"Official FANSO current catalogue did not establish the CR14250H/3FP chemistry and lead suffix as one exact model.","Official FANSO datasheet/product page for CR14250H/3FP."
fanso:CR14250LD,КА-00001136,FANSO,hold,exact_suffix_unverified,"Official FANSO current catalogue did not establish CR14250-LD.","Official FANSO datasheet/product page for CR14250-LD."
fanso:ER18505M,КА-00004676,FANSO,hold,assembly_connector_unverified,"The name states a 2× ER18505M assembly with Molex 51021-2. The official model-core source found is for ER18505H, not this M assembly.","Official FANSO assembly datasheet/BOM confirming two ER18505M cells and Molex 51021-2."
fanso:ER18505M,КА-00004899,FANSO,hold,assembly_connector_unverified,"The name states a 2× ER18505M assembly with leads. No official source verifies the assembly topology or lead configuration.","Official FANSO assembly datasheet/BOM confirming two ER18505M cells and the exact lead variant."
fanso:ER2450,ФР-00001634,FANSO,hold,primary_source_required,"No exact official FANSO ER2450 product page/datasheet was located in this pass.","Official FANSO ER2450 datasheet."
robiton:6F22,ФР-00001656,Robiton,hold,series_unverified,"The raw name says only ROBITON 6F22; the official page found is specifically the PLUS series. Series must not be inferred.","Exact official ROBITON page/SKU for this 6F22 record."
robiton:R3R12SR1,КА-00000124,Robiton,hold,exact_sku_unverified,"Official ROBITON catalogue establishes a PLUS 3R12 family, but this pass did not locate the exact R-3R12-SR1/SR1 SKU page.","Official ROBITON product page or current catalogue entry for R-3R12-SR1."
out_of_scope:CR17335SEPHR2,КА-00002862,unknown,hold,false_positive_scope,"Exact source row: Батарея литиевая CR17335-SE разъем PHR-2 /Китай/. A connector/terminal is a variant of a primary battery, not proof that the product is out of scope.","Obtain manufacturer and exact CR17335-SE PHR-2 datasheet before drafting; do not exclude or unpublish."
