cluster_id,product_external_id,manufacturer,decision,reason_code,evidence,retry_condition
robiton:1500MH23A,КА-00003307,Robiton,hold,assembled_pack_unverified,"The raw name is an 8-cell 9.6 V assembly; a cell model source cannot establish its assembly topology.","Official Robiton page or assembly datasheet naming 8*1500MH2/3A 9.6V."
robiton:1800MH45A2,КА-00005062,Robiton,hold,exact_model_unverified,"The primary catalogue lists 1800MHAA, not the distinct 1800MH4/5A model.","Official Robiton product page or datasheet for 1800MH4/5A."
robiton:200MH9,ФР-00000264,Robiton,hold,exact_model_unverified,"No exact official Robiton source was located for 200MH9.","Official Robiton product page or datasheet for 200MH9."
robiton:200MH9,ФР-00002106,Robiton,hold,exact_model_unverified,"No exact official Robiton source was located for 200MH9.","Official Robiton product page or datasheet for 200MH9."
robiton:2LP103450,КА-00005431,Robiton,hold,assembled_pack_unverified,"The raw name specifies a 2-cell 7.4 V Li-Po assembly; source for an individual cell would not establish the assembly.","Official Robiton product page or assembly datasheet for 2LP103450."
robiton:330BVH,КА-00001847,Robiton,hold,exact_model_unverified,"No exact official Robiton source was located for 330BVH.","Official Robiton product page or datasheet for 330BVH."
robiton:3RTU5000MHD,КА-00005181,Robiton,hold,assembled_pack_unverified,"The raw name specifies a 3.6 V C-size assembly; no exact manufacturer assembly source was located.","Official Robiton product page or assembly datasheet for 3RTU5000MHD."
robiton:400MHAAA,КА-00003865,Robiton,hold,assembled_pack_unverified,"The raw name specifies a 2-cell 2.4 V pack. A cell-family source cannot establish its assembly.","Official Robiton page or assembly datasheet for 2*400MHAAA 2.4V."
robiton:900MHAAA,КА-00001958,Robiton,hold,assembled_pack_unverified,"The raw name specifies a 4.8 V pack for BT06K; a 900MHAAA cell source cannot establish its assembly or compatibility.","Official Robiton page or assembly datasheet for the 4.8V BT06K pack."
robiton:AA2500МВТЧ,КА-00001075,Robiton,hold,exact_model_unverified,"No exact official Robiton source was located for 2500NZAA-2 Ni-Zn.","Official Robiton product page or datasheet for 2500NZAA-2."
robiton:BL10,КА-00000261,Robiton,hold,package_cluster_collision,"BL10 is a package marker; this cluster must be split to exact cell models before applying a source.","Exact source and normalized model for each BL10 member."
robiton:BL10,КА-00001083,Robiton,hold,package_cluster_collision,"BL10 is a package marker; this cluster must be split to exact cell models before applying a source.","Exact source and normalized model for each BL10 member."
robiton:BL10,КА-00004265,Robiton,hold,package_cluster_collision,"BL10 is a package marker; this cluster must be split to exact cell models before applying a source.","Exact source and normalized model for each BL10 member."
