"cluster_id","product_external_id","manufacturer","decision","reason_code","evidence","retry_condition"
"robiton:DECTT2363XAA","КА-00004177","Robiton","hold","assembly_or_terminal_variant_unverified","Raw item carries a pack, terminal or protection execution; the official category catalogue is insufficient to establish it.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LI10440","КА-00006750","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LI186NP2600FPK","КА-00005541","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LI3018650","КА-00006085","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LIR9V650","КА-00003446","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LP402025","КА-00003834","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LP402030","КА-00002053","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LP443442","КА-00001336","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LP502030","КА-00001371","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LP502035","КА-00001553","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LP502540","КА-00002915","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LP602035","КА-00002810","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LP603030","КА-00002195","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:LP724373","КА-00004885","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:RTU2600MHAA2","КА-00006749","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:RTU270MH1","КА-00004338","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:RTU270MHBULK","КА-00007055","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:RTU7000MHD","КА-00001648","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:RTU950MHAAA2","КА-00001991","Robiton","hold","exact_primary_source_required","No exact official ROBITON product page or datasheet was located for this model in this research pass.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:VRLA40","КА-00001491","Robiton","hold","assembly_or_terminal_variant_unverified","Raw item carries a pack, terminal or protection execution; the official category catalogue is insufficient to establish it.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:VRLA409","ФР-00000779","Robiton","hold","assembly_or_terminal_variant_unverified","Raw item carries a pack, terminal or protection execution; the official category catalogue is insufficient to establish it.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:VRLA43","ФР-00000662","Robiton","hold","assembly_or_terminal_variant_unverified","Raw item carries a pack, terminal or protection execution; the official category catalogue is insufficient to establish it.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:VRLA43","ФР-00000781","Robiton","hold","assembly_or_terminal_variant_unverified","Raw item carries a pack, terminal or protection execution; the official category catalogue is insufficient to establish it.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:ЗАЩИТОЙBL1","КА-00001507","Robiton","hold","model_candidate_not_sku","Candidate is an attribute/package phrase, not a ROBITON manufacturer SKU; no exact product identity can be established.","Exact official ROBITON product page or datasheet matching the full model and variant."
"robiton:ЗАЩИТОЙBL1","КА-00001544","Robiton","hold","model_candidate_not_sku","Candidate is an attribute/package phrase, not a ROBITON manufacturer SKU; no exact product identity can be established.","Exact official ROBITON product page or datasheet matching the full model and variant."
