cluster_id,product_external_id,manufacturer,decision,reason_code,evidence,retry_condition
robiton:CR2032,КА-00000703,Robiton,hold,exact_variant_unverified,"The record specifies a CR2032 HP2M1 with leads; the official catalogue alone does not verify the lead assembly.","Official Robiton page or datasheet naming CR2032 HP2M1 with its terminal configuration."
robiton:CR2032,КА-00003677,Robiton,hold,exact_variant_unverified,"The record specifies a CR2032 BULK25 package; no exact official Robiton page was located for this package variant.","Official Robiton CR2032 BULK25 page or catalogue listing."
robiton:CR2354,КА-00005978,Robiton,hold,exact_sku_unverified,"No exact official Robiton page was located for PROFI R-CR2354-BL1.","Official Robiton product page or data sheet for R-CR2354-BL1."
robiton:ER14250DP,КА-00005614,Robiton,hold,assembly_connector_unverified,"ER14250-DP includes a connector/assembly suffix that cannot be inferred from a cell-family source.","Official Robiton page or assembly data sheet for ER14250-DP PK1."
robiton:ER14505BOX20,КА-00005613,Robiton,hold,exact_package_unverified,"No exact official Robiton evidence was located for ER14505 BOX20.","Official Robiton ER14505 BOX20 page or catalogue entry."
robiton:ER14505MSR2,КА-00003002,Robiton,hold,exact_sku_unverified,"No exact official Robiton evidence was located for ER14505M-SR2.","Official Robiton product page or data sheet for ER14505M-SR2."
robiton:ER18505SR2,КА-00004604,Robiton,hold,exact_sku_unverified,"No exact official Robiton evidence was located for ER18505-SR2.","Official Robiton product page or data sheet for ER18505-SR2."
robiton:ER34615SR2,ФР-00000867,Robiton,hold,exact_sku_unverified,"No exact official Robiton evidence was located for ER34615-SR2.","Official Robiton product page or data sheet for ER34615-SR2."
robiton:ER9VSR,КА-00002065,Robiton,hold,exact_sku_unverified,"No exact official Robiton evidence was located for ER9V-SR.","Official Robiton product page or data sheet for ER9V-SR."
robiton:LR41,КА-00005210,Robiton,hold,exact_variant_unverified,"The raw name is STANDARD R-AG3-0-BL5 / AG3-LR41; no exact official current product page was located in this pass.","Official Robiton page for STANDARD AG3/LR41 BL5."
robiton:PLUSRR03SR4,КА-00003949,Robiton,hold,exact_sku_unverified,"The official catalogue establishes the PLUS R03 family, not the exact R-R03-SR4 SKU and its package.","Official Robiton page or catalogue listing for PLUS R-R03-SR4."
robiton:PLUSRR14SR2,ФР-00001617,Robiton,hold,exact_sku_unverified,"The official catalogue establishes the PLUS R14 family, not the exact R-R14-SR2 SKU and its package.","Official Robiton page or catalogue listing for PLUS R-R14-SR2."
robiton:PLUSRR20SR2,КА-00000448,Robiton,hold,exact_sku_unverified,"The official catalogue establishes the PLUS R20 family, not the exact R-R20-SR2 SKU and its package.","Official Robiton page or catalogue listing for PLUS R-R20-SR2."
robiton:PLUSRR20SR2,КА-00004257,Robiton,hold,exact_sku_unverified,"The official catalogue establishes the PLUS R20 family, not the exact R-R20-SR2 SKU and its package.","Official Robiton page or catalogue listing for PLUS R-R20-SR2."
robiton:PLUSRR6SR4,КА-00006328,Robiton,hold,exact_sku_unverified,"The official catalogue establishes the PLUS R6 family, not the exact R-R6-SR4 SKU and its package.","Official Robiton page or catalogue listing for PLUS R-R6-SR4."
robiton:STANDARTRLR10BL5,КА-00005024,Robiton,hold,exact_sku_unverified,"No exact official Robiton page was located for STANDARD R-LR10-BL5.","Official Robiton product page or catalogue listing for STANDARD R-LR10-BL5."
robiton:WINNERRFR6BL2,КА-00003757,Robiton,hold,exact_sku_unverified,"The official catalogue establishes the WINNER FR6 family, not the exact R-FR6-BL2 SKU and its package.","Official Robiton page or catalogue listing for WINNER R-FR6-BL2."
robiton:WINNERRFR6SR2,КА-00003758,Robiton,hold,exact_sku_unverified,"The official catalogue establishes the WINNER FR6 family, not the exact R-FR6-SR2 SKU and its package.","Official Robiton page or catalogue listing for WINNER R-FR6-SR2."
robiton:WINNERRFR6SR2,ФР-00000826,Robiton,hold,exact_sku_unverified,"The official catalogue establishes the WINNER FR6 family, not the exact R-FR6-SR2 SKU and its package.","Official Robiton page or catalogue listing for WINNER R-FR6-SR2."
