row_number,product_external_id,name,rule,scope_reason
79,КА-00000100,"Конф""CANDY NUT""(ар,хруст.рис) Рошен 1 кг",unclassified,food
151,КА-00000174,"Конф.""КОРОВКА РОШЕН"" (негл.,мол.корп.)1кг",unclassified,food
154,КА-00000177,"Конф""CANDY NUT""(нуга/карам/арах/рис) 160г",unclassified,food
175,КА-00000198,"Набор ложек (столовых,12шт,175мм,белые)",unclassified,household
184,КА-00000207,012110 Лезвия д/ножей 18 мм Stanger 10шт в пласт. контейнере 50093 cтрана происхождения Китай,unclassified,household
188,КА-00000211,104318 Корзина д/бумаг 12л цельная Юни син. 0220503 страна происхождения Беларусь,unclassified,household
205,КА-00000229,7Н0422153Н VAG Гидравлический насос; страна ввоза - РФ,unclassified,automotive
206,КА-00000230,7Н1422893Н VAG Трубка ГУР; страна ввоза - РФ,unclassified,automotive
209,КА-00000233,"33616 01 LEMFORDER Пыльник, рулевое управление; страна ввоза - Польша",unclassified,automotive
210,КА-00000234,"27596 01 LEMFORDER Осевой шарнир, рулевая тяга; страна ввоза - Польша",unclassified,automotive
238,КА-00000262,0897 11 Колодки  тормозные  дисковые /комплект 4шт/  REMSA; страна ввоза - Германия,unclassified,automotive
239,КА-00000263,0986479S068 Тормозной диск; Страна ввоза- Китай,unclassified,automotive
240,КА-00000264,TITAN GT1 PRO C-3 5W30 1L Масло моторное синтет; страна ввоза - РФ,unclassified,automotive
254,КА-00000278,"021281 Карандаш ч/г ТМ Index, шестигран.заточ.черн.с дек.нак. I253 страна происхождения Китай",unclassified,office
260,КА-00000284,115400 Краска штемп.30мл Economix синяя 42201-02 страна происхождения Украина,unclassified,office
274,КА-00000298,"Ластик ""TECHNIC 300"" в целлоф.арт.011301",unclassified,office
319,КА-00000344,"59х32 мм штамп , изготовитель ЗАО ""Тродат-Бел"" РБ",unclassified,office
331,КА-00000356,Наклейка с надписью 350mah /Китай/,unclassified,office
333,КА-00000358,"Блокнот (145х200мм,40л,А5)",unclassified,office
347,КА-00000372,TITAN GT1 PRO C-3 5W30 1L Масло моторное синтет; страна ввоза - Евросоюз,unclassified,automotive
348,КА-00000373,114 -961 FA1 Хомуты глушителя; страна ввоза - РФ,unclassified,automotive
349,КА-00000374,OX188D KNECHT Фильтр масляный; страна ввоза - Австрия,unclassified,automotive
350,КА-00000375,TITAN GT1 PRO C-3 5W30 4L Масло моторное синтет; страна ввоза - Евросоюз,unclassified,automotive
351,КА-00000376,K1155 Фильтр салона FILTRON; страна ввоза - Польша,unclassified,automotive
353,КА-00000378,7H0129620A VAG Фильтр воздушный; страна ввоза - РФ,unclassified,automotive
358,КА-00000383,039986 Файл А4+ 30мкм Basic глад.глянц.100шт. 31106 страна происхождения Украина,unclassified,office
359,КА-00000384,"Календарь квартальный, подложка 300 г/м2, 4+0, 2 ст.мат.ламинация, стандартная сетка, люверс, 3 мет.",unclassified,office
388,КА-00000413,"047792 Файл А4 30мкм Berlingo гладк.,глянц.,100шт. S1000 страна происхождения Россия",unclassified,office
392,КА-00000417,Мини-маф. с нач. «ВАРЕНАЯ СГУЩЕНКА» 465 г.,unclassified,food
393,КА-00000418,"Жел.конф. ""БЕШЕНАЯ ПЧЕЛКА ФРУТТИ"" 200г",unclassified,food
394,КА-00000419,"Изд.кондитерск. ""ПТИЦА-СЛАДУНИЦА"" 1 кг",unclassified,food
475,КА-00000501,"38 мм печать , изготовитель ЗАО ""Тродат-Бел"" РБ",unclassified,office
481,КА-00000507,Антифриз (концентрат) Comma красного цвета 5л SLA5L; страна ввоза - Германия,unclassified,automotive
482,КА-00000508,AP157/4 Фильтр воздушный; страна ввоза - Украина,unclassified,automotive
484,КА-00000510,71-36079-00 Прокладка коллектора; страна ввоза - РФ,unclassified,automotive
485,КА-00000511,71-36076-00 Прокладка коллектора; страна ввоза - РФ,unclassified,automotive
486,КА-00000512,71-36074-00 Прокладка коллектора; страна ввоза - РФ,unclassified,automotive
487,КА-00000513,7H0121051D VAG Патрубок радиатора; страна ввоза - Германия,unclassified,automotive
488,КА-00000514,0250202023 Свеча накаливания; страна ввоза - Германия,unclassified,automotive
489,КА-00000515,30830006 К-т пыльника ШРУСА наружного; страна ввоза- Германия,unclassified,automotive
494,КА-00000520,Тумба выкатная 424*500*615 инв: 45013489;,unclassified,household
495,КА-00000521,Тумба стацион. 45*50*75 лев.,unclassified,household
496,КА-00000522,Шкаф гардеробный 778*410*1813 инв: 45012910;,unclassified,household
497,КА-00000523,Шкаф д/одежды СШО.40.200,unclassified,household
498,КА-00000524,Шкаф СШ.40.200.С прав.,unclassified,household
499,КА-00000525,Шкаф СШ.40.78 лев.,unclassified,household
509,КА-00000535,Контейнер 445*460*520 кальвадос (инв.н. М00516),unclassified,household
510,КА-00000536,Контейнер 445*460*520 кальвадос (инв.н. м00519),unclassified,household
