product_external_id,reason
КА-00000734,consumer_stationery_out_of_scope
КА-00000749,seasonal_decoration_out_of_scope
КА-00000752,seasonal_decoration_out_of_scope
КА-00000753,seasonal_decoration_out_of_scope
КА-00000755,seasonal_decoration_out_of_scope
КА-00000875,book_out_of_scope
КА-00000876,book_out_of_scope
КА-00000877,book_out_of_scope
КА-00000878,book_out_of_scope
КА-00000879,book_out_of_scope
КА-00000880,book_out_of_scope
КА-00000881,book_out_of_scope
КА-00000882,book_out_of_scope
КА-00000883,book_out_of_scope
КА-00000953,household_fitting_out_of_scope
КА-00000957,household_kitchen_good_out_of_scope
КА-00000958,household_kitchen_good_out_of_scope
КА-00000959,household_storage_good_out_of_scope
КА-00000960,household_storage_good_out_of_scope
КА-00000961,seasonal_decoration_out_of_scope
КА-00001114,food_out_of_scope
КА-00001117,food_out_of_scope
