product_external_id,reason
КА-00003894,medical_device_or_consumable_out_of_scope
КА-00003895,medical_device_or_consumable_out_of_scope
КА-00003896,medical_device_or_consumable_out_of_scope
КА-00003897,medical_device_or_consumable_out_of_scope
КА-00004020,medical_device_or_consumable_out_of_scope
КА-00004333,medical_device_or_consumable_out_of_scope
КА-00004600,medical_device_or_consumable_out_of_scope
КА-00004601,medical_device_or_consumable_out_of_scope
КА-00004918,medical_device_or_consumable_out_of_scope
КА-00004919,medical_device_or_consumable_out_of_scope
КА-00006213,medical_device_or_consumable_out_of_scope
КА-00006214,medical_device_or_consumable_out_of_scope
КА-00006390,medical_device_or_consumable_out_of_scope
КА-00006391,medical_device_or_consumable_out_of_scope
КА-00005392,office_stationery_out_of_scope
КА-00005668,office_stationery_out_of_scope
КА-00005669,office_stationery_out_of_scope
КА-00005983,office_or_consumer_accessory_out_of_scope
КА-00005989,office_stationery_out_of_scope
КА-00006741,office_furniture_out_of_scope
КА-00005547,consumer_appliance_out_of_scope
КА-00005610,home_furnishing_out_of_scope
КА-00005611,home_furnishing_out_of_scope
КА-00005805,medical_consumer_consumable_out_of_scope
КА-00005806,medical_consumer_consumable_out_of_scope
КА-00005936,consumer_tableware_out_of_scope
КА-00006012,consumer_pest_control_out_of_scope
КА-00006032,personal_care_out_of_scope
КА-00006267,personal_care_out_of_scope
КА-00006403,consumer_housewares_out_of_scope
ФР-00002117,seasonal_decoration_out_of_scope
ФР-00002255,consumer_jewellery_out_of_scope
КА-00005794,automotive_tool_out_of_scope
КА-00005797,automotive_safety_accessory_out_of_scope
КА-00005798,automotive_safety_accessory_out_of_scope
КА-00006042,construction_consumable_out_of_scope
