product_external_id,category_external_id
КА-00000255,seo:primary-cells
КА-00000334,seo:primary-cells
КА-00000485,seo:electronic-components
КА-00000486,seo:electronic-components
КА-00000849,seo:primary-cells
КА-00001041,seo:primary-cells
КА-00001265,seo:rechargeable-cells
КА-00001268,seo:primary-cells
КА-00001292,seo:primary-cells
КА-00001346,seo:primary-cells
КА-00001350,seo:rechargeable-cells
КА-00001352,seo:electronic-components
КА-00001353,seo:electronic-components
КА-00001402,seo:primary-cells
КА-00001619,seo:batteries-ups
КА-00001620,seo:batteries-ups
КА-00001849,seo:primary-cells
КА-00001850,seo:primary-cells
КА-00001853,seo:primary-cells
КА-00001923,seo:batteries-ups
КА-00001927,seo:primary-cells
КА-00002068,seo:power-systems
КА-00002070,seo:primary-cells
КА-00002450,seo:primary-cells
КА-00002613,seo:primary-cells
КА-00002616,seo:primary-cells
КА-00002634,seo:power-systems
КА-00002783,seo:primary-cells
КА-00002784,seo:primary-cells
КА-00002832,seo:batteries-ups
КА-00002833,seo:batteries-ups
КА-00002886,seo:primary-cells
КА-00002901,seo:primary-cells
КА-00002919,seo:primary-cells
КА-00002966,seo:batteries-ups
КА-00003056,seo:primary-cells
КА-00003094,seo:batteries-ups
КА-00003192,seo:primary-cells
КА-00003193,seo:primary-cells
КА-00003202,seo:primary-cells
КА-00003278,seo:primary-cells
КА-00003429,seo:primary-cells
КА-00003434,seo:primary-cells
КА-00003528,seo:primary-cells
КА-00003581,seo:primary-cells
КА-00003626,seo:primary-cells
КА-00003779,seo:primary-cells
КА-00004081,seo:power-systems
КА-00004133,seo:primary-cells
КА-00004228,seo:power-systems
КА-00004229,seo:power-systems
КА-00004230,seo:power-systems
КА-00004307,seo:primary-cells
КА-00004308,seo:primary-cells
КА-00004310,seo:primary-cells
КА-00004313,seo:primary-cells
КА-00004377,seo:primary-cells
КА-00004508,seo:primary-cells
КА-00004605,seo:electronic-components
КА-00004650,seo:power-systems
КА-00004651,seo:power-systems
КА-00004704,seo:rechargeable-cells
КА-00004897,seo:primary-cells
КА-00005011,seo:primary-cells
КА-00005083,seo:primary-cells
КА-00005165,seo:batteries-ups
КА-00005175,seo:rechargeable-cells
КА-00005191,seo:primary-cells
КА-00005203,seo:power-systems
КА-00005206,seo:primary-cells
КА-00005297,seo:primary-cells
КА-00005358,seo:primary-cells
КА-00005362,seo:primary-cells
КА-00005499,seo:primary-cells
КА-00005596,seo:primary-cells
КА-00005643,seo:primary-cells
КА-00005706,seo:power-systems
КА-00006118,seo:power-systems
КА-00006260,seo:rechargeable-cells
КА-00006261,seo:rechargeable-cells
КА-00006262,seo:rechargeable-cells
КА-00006290,seo:electronic-components
КА-00006301,seo:primary-cells
КА-00006310,seo:electronic-components
КА-00006312,seo:electronic-components
КА-00006315,seo:electronic-components
КА-00006318,seo:electronic-components
КА-00006359,seo:primary-cells
КА-00006381,seo:rechargeable-cells
КА-00006570,seo:primary-cells
КА-00007112,seo:electronic-components
КА-00007148,seo:power-systems
ФР-00000497,seo:primary-cells
ФР-00000635,seo:primary-cells
ФР-00000757,seo:primary-cells
ФР-00000758,seo:primary-cells
ФР-00000759,seo:primary-cells
ФР-00000760,seo:primary-cells
ФР-00000761,seo:primary-cells
ФР-00000762,seo:primary-cells
ФР-00000763,seo:primary-cells
ФР-00000764,seo:primary-cells
ФР-00000765,seo:primary-cells
ФР-00000799,seo:primary-cells
ФР-00000820,seo:rechargeable-cells
ФР-00000846,seo:power-systems
ФР-00000887,seo:primary-cells
ФР-00001085,seo:primary-cells
ФР-00001109,seo:power-systems
ФР-00001347,seo:power-systems
ФР-00001659,seo:primary-cells
ФР-00001698,seo:primary-cells
ФР-00001782,seo:primary-cells
ФР-00001800,seo:rechargeable-cells
ФР-00001801,seo:rechargeable-cells
ФР-00001802,seo:rechargeable-cells
ФР-00001851,seo:batteries-ups
ФР-00001855,seo:primary-cells
ФР-00001868,seo:primary-cells
