product_external_id,category_external_id
КА-00000851,seo:assembly-materials
КА-00000852,seo:assembly-materials
КА-00001017,seo:data-storage
КА-00001650,seo:measurement-equipment
КА-00001988,seo:primary-cells
КА-00001989,seo:primary-cells
КА-00002032,seo:electronic-components
КА-00002033,seo:electronic-components
КА-00002340,seo:electronic-components
КА-00002341,seo:electronic-components
КА-00002342,seo:electronic-components
КА-00002757,seo:workshop-tools
КА-00004409,seo:primary-cells
КА-00006151,seo:workshop-tools
