product_external_id,category_external_id
КА-00002987,seo:power-systems
КА-00003580,seo:power-systems
КА-00004085,seo:power-systems
КА-00004459,seo:electronic-components
КА-00004460,seo:electronic-components
КА-00004461,seo:electronic-components
КА-00004868,seo:workshop-tools
КА-00005019,seo:electronic-components
КА-00005078,seo:workshop-tools
КА-00005374,seo:power-systems
КА-00005377,seo:drone-components
КА-00005481,seo:drone-components
КА-00005532,seo:electronic-components
КА-00005738,seo:power-systems
КА-00005842,seo:electronic-components
КА-00006279,seo:electronic-components
КА-00006576,seo:workshop-tools
КА-00006772,seo:drone-components
КА-00006923,seo:drone-components
ФР-00000512,seo:lighting-fixtures
ФР-00001043,seo:lighting-fixtures
ФР-00001453,seo:electronic-components
ФР-00001510,seo:lighting-fixtures
ФР-00001521,seo:primary-cells
