product_external_id,category_external_id
КА-00005447,seo:batteries-accessories
КА-00005448,seo:batteries-accessories
КА-00005449,seo:batteries-accessories
КА-00005758,seo:electrical-installation
КА-00006843,seo:electrical-installation
ФР-00000942,seo:electrical-protection-control
ФР-00001722,seo:electrical-protection-control
ФР-00001723,seo:electrical-protection-control
ФР-00001724,seo:electrical-protection-control
ФР-00001725,seo:electrical-protection-control
ФР-00001726,seo:electrical-protection-control
ФР-00001728,seo:electrical-installation
ФР-00001731,seo:electrical-protection-control
ФР-00001733,seo:electrical-protection-control
ФР-00001734,seo:electrical-protection-control
ФР-00001966,seo:electrical-protection-control
