product_external_id,category_external_id
КА-00005386,seo:assembly-materials
КА-00005556,seo:workshop-tools
КА-00005750,seo:assembly-materials
КА-00005799,seo:workshop-tools
КА-00005801,seo:workshop-tools
КА-00005862,seo:assembly-materials
КА-00005863,seo:workshop-tools
КА-00005889,seo:fasteners
КА-00005990,seo:power-accessories
КА-00006126,seo:assembly-materials
КА-00006150,seo:workshop-tools
КА-00006152,seo:assembly-materials
КА-00006326,seo:workshop-tools
КА-00006334,seo:workshop-tools
КА-00006335,seo:workshop-tools
КА-00006383,seo:fasteners
КА-00006445,seo:power-accessories
КА-00006525,seo:workshop-tools
КА-00006580,seo:fasteners
КА-00006581,seo:fasteners
КА-00006582,seo:fasteners
КА-00006583,seo:fasteners
КА-00006609,seo:workshop-tools
КА-00006625,seo:workshop-tools
КА-00006627,seo:fasteners
КА-00006755,seo:assembly-materials
КА-00006947,seo:workshop-tools
КА-00006954,seo:workshop-tools
КА-00006978,seo:workshop-tools
КА-00006985,seo:workshop-tools
КА-00006986,seo:workshop-tools
КА-00007010,seo:assembly-materials
КА-00007027,seo:assembly-materials
КА-00007028,seo:assembly-materials
КА-00007062,seo:assembly-materials
ФР-00000885,seo:assembly-materials
ФР-00001023,seo:assembly-materials
ФР-00001143,seo:assembly-materials
ФР-00002151,seo:workshop-tools
