product_external_id,from_category_external_id,to_category_external_id
КА-00001374,seo:rechargeable-cells,seo:batteries-ups
КА-00001647,seo:rechargeable-cells,seo:batteries-ups
КА-00001855,seo:rechargeable-cells,seo:batteries-ups
КА-00001863,seo:rechargeable-cells,seo:batteries-ups
КА-00001895,seo:rechargeable-cells,seo:batteries-ups
КА-00002055,seo:rechargeable-cells,seo:batteries-ups
КА-00002061,seo:rechargeable-cells,seo:batteries-ups
КА-00002073,seo:rechargeable-cells,seo:batteries-ups
КА-00002074,seo:rechargeable-cells,seo:batteries-ups
КА-00002317,seo:rechargeable-cells,seo:batteries-ups
КА-00002376,seo:warehouse-equipment,seo:batteries-ups
КА-00002670,seo:warehouse-equipment,seo:batteries-ups
КА-00002769,seo:rechargeable-cells,seo:batteries-ups
КА-00003548,seo:rechargeable-cells,seo:batteries-ups
КА-00003560,seo:rechargeable-cells,seo:batteries-ups
КА-00003564,seo:rechargeable-cells,seo:batteries-ups
КА-00003830,seo:rechargeable-cells,seo:batteries-ups
КА-00003832,seo:rechargeable-cells,seo:batteries-ups
КА-00003890,seo:rechargeable-cells,seo:batteries-ups
КА-00003990,seo:rechargeable-cells,seo:batteries-ups
КА-00004140,seo:rechargeable-cells,seo:batteries-ups
КА-00004518,seo:rechargeable-cells,seo:batteries-ups
КА-00004962,seo:rechargeable-cells,seo:batteries-ups
КА-00004972,seo:rechargeable-cells,seo:batteries-ups
КА-00005320,seo:rechargeable-cells,seo:batteries-ups
КА-00005338,seo:rechargeable-cells,seo:batteries-ups
КА-00005686,seo:rechargeable-cells,seo:batteries-ups
КА-00005774,seo:rechargeable-cells,seo:batteries-ups
КА-00005871,seo:rechargeable-cells,seo:batteries-ups
КА-00006757,seo:rechargeable-cells,seo:batteries-ups
ФР-00000415,seo:rechargeable-cells,seo:batteries-ups
ФР-00000537,seo:rechargeable-cells,seo:batteries-ups
ФР-00001000,seo:rechargeable-cells,seo:batteries-ups
ФР-00001144,seo:rechargeable-cells,seo:batteries-ups
ФР-00001954,seo:rechargeable-cells,seo:batteries-ups
ФР-00002243,seo:rechargeable-cells,seo:batteries-ups
