product_external_id,from_category_external_id,to_category_external_id
КА-00001953,seo:rechargeable-cells,seo:batteries-ups
КА-00002291,seo:rechargeable-cells,seo:batteries-ups
КА-00002292,seo:rechargeable-cells,seo:batteries-ups
КА-00002921,seo:rechargeable-cells,seo:batteries-ups
КА-00003867,seo:rechargeable-cells,seo:batteries-ups
КА-00004972,seo:rechargeable-cells,seo:batteries-ups
КА-00005320,seo:rechargeable-cells,seo:batteries-ups
КА-00005462,seo:rechargeable-cells,seo:batteries-ups
КА-00005686,seo:rechargeable-cells,seo:batteries-ups
КА-00005689,seo:rechargeable-cells,seo:batteries-ups
КА-00005771,seo:rechargeable-cells,seo:batteries-ups
КА-00006957,seo:rechargeable-cells,seo:batteries-ups
ФР-00000182,seo:rechargeable-cells,seo:batteries-ups
ФР-00000714,seo:rechargeable-cells,seo:batteries-ups
ФР-00001279,seo:rechargeable-cells,seo:batteries-ups
ФР-00002203,seo:rechargeable-cells,seo:batteries-ups
ФР-00002345,seo:rechargeable-cells,seo:batteries-ups
КА-00005774,seo:rechargeable-cells,seo:replacement-batteries
