product_external_id,from_category_external_id,to_category_external_id
КА-00001846,seo:batteries-ups,seo:ups-systems
КА-00002908,seo:batteries-ups,seo:ups-systems
КА-00003387,seo:batteries-ups,seo:ups-systems
КА-00003699,seo:batteries-ups,seo:ups-systems
КА-00003710,seo:batteries-ups,seo:ups-systems
КА-00003748,seo:batteries-ups,seo:ups-systems
КА-00003883,seo:batteries-ups,seo:ups-systems
КА-00003944,seo:batteries-ups,seo:ups-systems
КА-00003956,seo:batteries-ups,seo:ups-systems
КА-00003995,seo:batteries-ups,seo:ups-systems
КА-00004112,seo:batteries-ups,seo:ups-systems
КА-00004113,seo:batteries-ups,seo:ups-systems
КА-00004358,seo:batteries-ups,seo:ups-systems
КА-00004366,seo:batteries-ups,seo:ups-systems
КА-00004707,seo:batteries-ups,seo:ups-systems
КА-00004863,seo:batteries-ups,seo:ups-systems
КА-00004889,seo:batteries-ups,seo:ups-systems
КА-00004901,seo:batteries-ups,seo:ups-systems
КА-00004902,seo:batteries-ups,seo:ups-systems
КА-00005082,seo:batteries-ups,seo:ups-systems
КА-00005524,seo:batteries-ups,seo:ups-systems
КА-00005606,seo:batteries-ups,seo:ups-systems
КА-00005636,seo:batteries-ups,seo:ups-systems
КА-00005733,seo:batteries-ups,seo:ups-systems
КА-00005734,seo:batteries-ups,seo:ups-systems
КА-00005755,seo:batteries-ups,seo:ups-systems
КА-00005756,seo:batteries-ups,seo:ups-systems
КА-00006759,seo:batteries-ups,seo:ups-systems
КА-00006872,seo:batteries-ups,seo:ups-systems
ФР-00000965,seo:batteries-ups,seo:ups-systems
КА-00002488,seo:batteries-ups,seo:power-supplies
КА-00002489,seo:batteries-ups,seo:power-supplies
