product_external_id,from_category_external_id,to_category_external_id
КА-00002301,seo:warehouse-equipment,seo:primary-cells
КА-00001476,seo:warehouse-equipment,seo:primary-cells
КА-00001184,seo:warehouse-equipment,seo:primary-cells
КА-00001245,seo:warehouse-equipment,seo:primary-cells
КА-00002071,seo:warehouse-equipment,seo:primary-cells
КА-00002043,seo:warehouse-equipment,seo:primary-cells
ФР-00001634,seo:warehouse-equipment,seo:primary-cells
КА-00003217,seo:warehouse-equipment,seo:primary-cells
КА-00002558,seo:warehouse-equipment,seo:primary-cells
КА-00002548,seo:warehouse-equipment,seo:primary-cells
КА-00002555,seo:warehouse-equipment,seo:primary-cells
