product_external_id,from_category_external_id,to_category_external_id
КА-00000022,seo:warehouse-equipment,seo:primary-cells
КА-00000033,seo:warehouse-equipment,seo:primary-cells
КА-00000053,seo:warehouse-equipment,seo:primary-cells
КА-00000073,seo:warehouse-equipment,seo:primary-cells
КА-00000075,seo:warehouse-equipment,seo:primary-cells
КА-00000083,seo:warehouse-equipment,seo:primary-cells
КА-00000084,seo:warehouse-equipment,seo:primary-cells
КА-00000086,seo:warehouse-equipment,seo:primary-cells
КА-00000087,seo:warehouse-equipment,seo:primary-cells
КА-00000111,seo:warehouse-equipment,seo:primary-cells
КА-00000129,seo:warehouse-equipment,seo:primary-cells
КА-00000239,seo:warehouse-equipment,seo:primary-cells
КА-00000241,seo:warehouse-equipment,seo:primary-cells
КА-00000300,seo:warehouse-equipment,seo:primary-cells
КА-00000305,seo:warehouse-equipment,seo:primary-cells
КА-00000366,seo:warehouse-equipment,seo:primary-cells
КА-00000438,seo:warehouse-equipment,seo:primary-cells
КА-00000446,seo:warehouse-equipment,seo:primary-cells
КА-00000448,seo:warehouse-equipment,seo:primary-cells
КА-00000449,seo:warehouse-equipment,seo:primary-cells
КА-00000461,seo:warehouse-equipment,seo:primary-cells
КА-00000614,seo:warehouse-equipment,seo:primary-cells
КА-00000619,seo:warehouse-equipment,seo:primary-cells
КА-00000620,seo:warehouse-equipment,seo:primary-cells
КА-00000861,seo:warehouse-equipment,seo:primary-cells
КА-00000862,seo:warehouse-equipment,seo:primary-cells
КА-00000970,seo:warehouse-equipment,seo:primary-cells
КА-00000974,seo:warehouse-equipment,seo:primary-cells
КА-00000985,seo:warehouse-equipment,seo:primary-cells
КА-00000986,seo:warehouse-equipment,seo:primary-cells
КА-00000987,seo:warehouse-equipment,seo:primary-cells
КА-00000988,seo:warehouse-equipment,seo:primary-cells
КА-00000989,seo:warehouse-equipment,seo:primary-cells
КА-00000990,seo:warehouse-equipment,seo:primary-cells
КА-00000991,seo:warehouse-equipment,seo:primary-cells
КА-00000992,seo:warehouse-equipment,seo:primary-cells
КА-00000993,seo:warehouse-equipment,seo:primary-cells
КА-00000994,seo:warehouse-equipment,seo:primary-cells
КА-00000995,seo:warehouse-equipment,seo:primary-cells
КА-00000996,seo:warehouse-equipment,seo:primary-cells
КА-00000997,seo:warehouse-equipment,seo:primary-cells
КА-00000998,seo:warehouse-equipment,seo:primary-cells
КА-00001006,seo:warehouse-equipment,seo:primary-cells
КА-00001007,seo:warehouse-equipment,seo:primary-cells
КА-00001008,seo:warehouse-equipment,seo:primary-cells
