product_external_id,from_category_external_id,to_category_external_id
КА-00000009,seo:primary-cells,seo:batteries-accessories
КА-00000010,seo:primary-cells,seo:batteries-accessories
КА-00000468,seo:primary-cells,seo:batteries-accessories
ФР-00000018,seo:primary-cells,seo:batteries-accessories
ФР-00000257,seo:primary-cells,seo:batteries-accessories
ФР-00000803,seo:primary-cells,seo:batteries-accessories
КА-00000487,seo:rechargeable-cells,seo:batteries-accessories
КА-00000488,seo:rechargeable-cells,seo:batteries-accessories
КА-00000489,seo:rechargeable-cells,seo:batteries-accessories
ФР-00000876,seo:rechargeable-cells,seo:batteries-accessories
ФР-00001064,seo:rechargeable-cells,seo:batteries-accessories
