product_external_id,from_category_external_id,to_category_external_id
КА-00001243,seo:rechargeable-cells,seo:primary-cells
КА-00001760,seo:rechargeable-cells,seo:primary-cells
КА-00003159,seo:rechargeable-cells,seo:primary-cells
КА-00003454,seo:rechargeable-cells,seo:primary-cells
КА-00003701,seo:rechargeable-cells,seo:primary-cells
КА-00006569,seo:rechargeable-cells,seo:primary-cells
ФР-00000408,seo:rechargeable-cells,seo:primary-cells
ФР-00000986,seo:rechargeable-cells,seo:primary-cells
ФР-00001825,seo:rechargeable-cells,seo:primary-cells
КА-00006966,seo:rechargeable-cells,seo:primary-cells
КА-00006967,seo:rechargeable-cells,seo:primary-cells
КА-00006968,seo:rechargeable-cells,seo:primary-cells
КА-00006969,seo:rechargeable-cells,seo:primary-cells
КА-00006970,seo:rechargeable-cells,seo:primary-cells
КА-00006971,seo:rechargeable-cells,seo:primary-cells
КА-00006972,seo:rechargeable-cells,seo:primary-cells
