product_external_id,from_category_external_id,to_category_external_id
КА-00003200,seo:rechargeable-cells,seo:batteries-ups
КА-00003237,seo:rechargeable-cells,seo:batteries-ups
КА-00003238,seo:rechargeable-cells,seo:batteries-ups
КА-00003292,seo:rechargeable-cells,seo:batteries-ups
КА-00003339,seo:rechargeable-cells,seo:batteries-ups
КА-00003351,seo:rechargeable-cells,seo:batteries-ups
КА-00003795,seo:rechargeable-cells,seo:batteries-ups
КА-00004009,seo:rechargeable-cells,seo:batteries-ups
КА-00004503,seo:rechargeable-cells,seo:batteries-ups
КА-00005164,seo:rechargeable-cells,seo:batteries-ups
КА-00006114,seo:rechargeable-cells,seo:batteries-ups
КА-00006493,seo:rechargeable-cells,seo:batteries-ups
КА-00006506,seo:rechargeable-cells,seo:batteries-ups
КА-00003672,seo:rechargeable-cells,seo:batteries-traction
КА-00004903,seo:rechargeable-cells,seo:batteries-traction
КА-00004904,seo:rechargeable-cells,seo:batteries-traction
КА-00004905,seo:rechargeable-cells,seo:batteries-traction
