cluster_id,manufacturer_candidate,member_external_ids,representative_name,decision,evidence_url,evidence_summary,retry_condition
energizer:AAALR03,Energizer,КА-00002988,Energizer AAA/LR03 3*AAA,hold,https://data.energizer.com/pdfs/en92.pdf,AAA LR03 is a size designation; source does not establish the exact local SKU or its 3-cell package,Obtain exact Energizer SKU or packaging identifier from 1C or manufacturer label.
energizer:ADVANCEDLR6,Energizer,ФР-00001585|ФР-00001625,Energizer ECO Advanced LR6 BL4,hold,,No official primary source was found for this exact ECO Advanced LR6 commercial variant,Obtain manufacturer product code or official datasheet for ECO Advanced LR6.
energizer:CR2450,Energizer,КА-00003479|КА-00003536|КА-00004295,Energizer CR2450 MAXI BL2 including contact variant,hold,https://energizer.com/eu/uk/product/energizer-electronics-batteries-cr2032/,The cluster mixes an explicit contact variant; a base-cell source cannot prove terminal configuration,Split base and contact variants with manufacturer part numbers and official drawing.
energizer:CR2450VAN,Energizer,КА-00004118,Energizer CR2450/VAN,hold,,Suffix VAN is not confirmed by an official primary source,Obtain exact Energizer part number and official drawing or datasheet.
energizer:LR03,Energizer,КА-00000974|ФР-00001584|ФР-00001624,Energizer ECO Advanced LR03 BL4,hold,,No official primary source was found for this exact ECO Advanced LR03 commercial variant,Obtain manufacturer product code or official datasheet for ECO Advanced LR03.
energizer:LR22,Energizer,КА-00005521|КА-00005629,Energizer LR22 EN22 9V Industrial,hold,,EN22/LR22 correspondence and exact Industrial SKU were not confirmed by an official primary source,Obtain exact manufacturer part number or official LR22/EN22 datasheet.
energizer:ПИТАНИЯ23E,Energizer,КА-00003535,Energizer 23E BI1,hold,https://energizer.com/eu/uk/product/energizer-electronic-batteries-a23-e23a/,Official source supports A23/E23A but not the local 23E designation as an exact model,Obtain package/label evidence mapping 23E to official model.
panasonic:BR12251F4C,Panasonic,ФР-00000635,Panasonic BR1225/1F4C,hold,https://energy.panasonic.com/eu/business/products/lithium/coin-br-standard/models/BR1225,BR1225 base-cell source does not prove 1F4C terminal construction,Obtain Panasonic terminal drawing or exact part-number datasheet.
panasonic:BR2330,Panasonic,КА-00003056|ФР-00001698,Panasonic BR2330 with leads 1HF1,hold,https://energy.panasonic.com/ap/business/downloads/terminal,The local item explicitly has 1HF1 leads; lead configuration must not be inferred from the base cell,Obtain official BR2330 1HF1 part drawing.
panasonic:BR2477AFBN,Panasonic,КА-00006263,Panasonic BR2477A/FBN,hold,https://energy.panasonic.com/ap/business/downloads/terminal,FBN suffix is a terminal/package variant not established by a base model source,Obtain exact Panasonic BR2477A/FBN documentation.
panasonic:BR26505,Panasonic,КА-00000428,Panasonic BR-C BR26505 with tabs,hold,https://energy.panasonic.com/tw/business/products/lithium/cylindrical-br/models/BR-2-3A,Local item includes tabs and BR26505 is not established by the cited BR-2/3A source,Obtain official BR26505 tabbed-cell part number/drawing.
panasonic:CR123,Panasonic,ФР-00001496,Panasonic CR123 BL1,hold,https://energy.panasonic.com/eu/business/products/lithium/cylindrical-cr-standard/models/CR123A,Official source is for CR123A; the local CR123 label is insufficient to assert exact identity,Obtain label or 1C code confirming CR123 equals CR123A for this SKU.
panasonic:CR123A,Panasonic,КА-00003091|КА-00003097|КА-00003320,Panasonic 4*CR123A 6V assembly,hold,https://energy.panasonic.com/eu/business/products/lithium/cylindrical-cr-standard/models/CR123A,The catalog names a multi-cell 6V assembly; single-cell CR123A source cannot prove assembly wiring or attributes,Obtain official assembled-pack part number and datasheet.
panasonic:CR123APAB,Panasonic,ФР-00000300|ФР-00001678|ФР-00001946,Panasonic 2*CR-123APA/B assembled pack,hold,https://energy.panasonic.com/eu/business/products/lithium/cylindrical-cr-standard/models/CR123A,The item is an assembled pack with variant suffixes; base-cell evidence is insufficient,Obtain pack manufacturer/part number and official technical sheet.
panasonic:CR2330,Panasonic,ФР-00000638,Panasonic CR2330 with leads 1HF1,hold,https://energy.panasonic.com/ap/business/downloads/terminal,The item explicitly has 1HF1 leads; base-cell facts cannot prove the terminal configuration,Obtain official CR2330 1HF1 drawing.
panasonic:CR2354,Panasonic,ФР-00000637,Panasonic CR2354 with leads 1VC,hold,https://energy.panasonic.com/ap/business/downloads/terminal,The item explicitly has 1VC leads and local capacity must not be copied without exact source,Obtain official CR2354 1VC drawing and datasheet.
panasonic:CR2450,Panasonic,ФР-00000636,Panasonic CR2450 with leads,hold,https://energy.panasonic.com/eu/business/products/lithium/coin-cr-standard/models/CR2450,The local item explicitly has leads; base-cell documentation does not prove lead variant,Obtain exact Panasonic leaded CR2450 part number and drawing.
