product_external_id,reason,survivor_external_id
КА-00001272,strict_duplicate_candidate,КА-00000591
КА-00001445,strict_duplicate_candidate,КА-00000591
КА-00001446,strict_duplicate_candidate,КА-00000807
КА-00000830,strict_duplicate_candidate,КА-00000210
ФР-00000546,strict_duplicate_candidate,00-00000007
КА-00004982,strict_duplicate_candidate,КА-00002966
КА-00006072,strict_duplicate_candidate,КА-00006071
ФР-00001007,strict_duplicate_candidate,ФР-00001004
ФР-00001280,strict_duplicate_candidate,КА-00000260
КА-00005151,strict_duplicate_candidate,КА-00002043
КА-00006413,strict_duplicate_candidate,КА-00006002
КА-00002859,strict_duplicate_candidate,КА-00001212
ФР-00001436,strict_duplicate_candidate,ФР-00001429
ФР-00001009,strict_duplicate_candidate,ФР-00001006
ФР-00002195,strict_duplicate_candidate,КА-00006569
КА-00005702,strict_duplicate_candidate,КА-00001185
ФР-00000460,strict_duplicate_candidate,00-00000001
ФР-00001168,strict_duplicate_candidate,ФР-00001142
ФР-00000507,strict_duplicate_candidate,КА-00005761
ФР-00001022,strict_duplicate_candidate,КА-00001311
КА-00006125,strict_duplicate_candidate,КА-00003769
КА-00006561,strict_duplicate_candidate,КА-00006560
КА-00001816,strict_duplicate_candidate,КА-00001813
КА-00002858,strict_duplicate_candidate,КА-00002377
КА-00004978,strict_duplicate_candidate,КА-00004111
ФР-00001504,strict_duplicate_candidate,ФР-00000272
КА-00003355,strict_duplicate_candidate,КА-00003120
КА-00005819,strict_duplicate_candidate,КА-00005294
КА-00006144,strict_duplicate_candidate,КА-00004824
ФР-00001662,strict_duplicate_candidate,ФР-00001357
ФР-00000332,strict_duplicate_candidate,ФР-00000148
ФР-00002198,exact_model_duplicate_candidate,КА-00006906
ФР-00002331,exact_model_duplicate_candidate,КА-00000154
КА-00002290,exact_model_duplicate_candidate,КА-00001418
КА-00002876,exact_model_duplicate_candidate,КА-00002745
ФР-00002012,strict_duplicate_candidate,КА-00000125
ФР-00001629,strict_duplicate_candidate,КА-00000781
КА-00004332,strict_duplicate_candidate,КА-00003527
ФР-00002305,strict_duplicate_candidate,КА-00000007
ФР-00002235,strict_duplicate_candidate,КА-00002822
