product_external_id,reason,survivor_external_id,evidence
КА-00001080,exact_model_terminal_packaging_duplicate,КА-00002301,"SAFT LS14250 bare 1/2AA; survivor directly linked to Bitrix 4280"
ФР-00000985,exact_model_terminal_packaging_duplicate,КА-00002301,"SAFT LS14250 bare 1/2AA 3.6V; survivor directly linked to Bitrix 4280"
ФР-00001082,exact_model_terminal_packaging_duplicate,КА-00001476,"SAFT LSH14 bare single-cell variant"
ФР-00001747,exact_model_terminal_packaging_duplicate,КА-00001184,"SAFT LS17330 bare single-cell variant"
КА-00006083,exact_model_terminal_packaging_duplicate,КА-00001245,"FANSO ER14250H/S exact variant"
КА-00005864,exact_model_terminal_packaging_duplicate,КА-00002071,"FANSO ER14335H/S exact variant"
КА-00006478,exact_model_terminal_packaging_duplicate,КА-00002043,"FANSO ER14505H/S exact variant"
КА-00006677,exact_model_terminal_packaging_duplicate,КА-00002043,"FANSO ER14505H/S; wording with leads only expands the /S suffix"
КА-00001849,exact_model_terminal_packaging_duplicate,ФР-00001634,"FANSO ER2450 bare single-cell variant"
КА-00003264,exact_model_terminal_packaging_duplicate,КА-00003217,"TEKCELL SB-D02-AX exact variant"
КА-00003768,exact_model_terminal_packaging_duplicate,КА-00002558,"TEKCELL SB-AA11-AX exact variant"
КА-00003769,exact_model_terminal_packaging_duplicate,КА-00002548,"TEKCELL SB-AA11-TC exact variant"
КА-00005145,exact_model_terminal_packaging_duplicate,КА-00002548,"TEKCELL SB-AA11-TC; country wording only"
КА-00006121,exact_model_terminal_packaging_duplicate,КА-00002548,"TEKCELL SB-AA11-TC; country wording only"
КА-00005071,exact_model_terminal_packaging_duplicate,КА-00002555,"TEKCELL SB-AA02-AX exact variant"
