Bitrix ID раздела,Родитель ID,Название,Путь на сайте,Ссылка на сайт,🟥 1С-группа (заполнить)
409,372,Для ИБП,akkumulyatory/dlya_ibp,https://microchips.by/catalog/akkumulyatory/dlya_ibp/,
410,409,AGM,akkumulyatory/dlya_ibp/agm,https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/,
411,409,GEL,akkumulyatory/dlya_ibp/gelevye,https://microchips.by/catalog/akkumulyatory/dlya_ibp/gelevye/,
415,409,OPzS,akkumulyatory/dlya_ibp/opzs,https://microchips.by/catalog/akkumulyatory/dlya_ibp/opzs/,
427,372,Промышленные аккумуляторы,akkumulyatory/promyshlennye,https://microchips.by/catalog/akkumulyatory/promyshlennye/,
401,427,Для раций (радиостранций),akkumulyatory/promyshlennye/dlya_ratsiy,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya_ratsiy/,
414,427,Для резервного питания,akkumulyatory/promyshlennye/dlya_rezervnogo_pitaniya,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya_rezervnogo_pitaniya/,
906,427,Для касс,akkumulyatory/promyshlennye/dlya-kass,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-kass/,
482,427,Для медицинской техники,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/,
624,482,3Gen,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/3gen,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/3gen/,
625,482,Abbott,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/abbott,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/abbott/,
823,482,Acare,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/acare,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/acare/,
