Bitrix ID,Название,Раздел (путь),Ссылка на сайт,Ёмкость (из названия),Напряжение (из названия),Технология (из названия),Бренд? (кандидат),MPN? (кандидат),Цена BYN (бэкап 2026-06-23),Статус цены,В наличии (бэкап),🟥 1С-код (заполнить),🟥 SKU (заполнить)
11182,"Аккумулятор для 3GEN DermLite II, DermLite III, DermLite Pro (DL2B) 1150mAh",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/3gen,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/3gen/11182/,1150mAh,,,,,,нет данных в бэкапе,,,
11183,Аккумулятор для Abbott i-STAT 1 (06F23-55) 700mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/abbott,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/abbott/11183/,700mah,,,,,,нет данных в бэкапе,,,
11184,Аккумулятор для Abbott i-Stat 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/abbott,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/abbott/11184/,2000mAh,,,,,,нет данных в бэкапе,,,
11185,Аккумулятор для Acare Pulse oximeter AH-MX 1700mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/acare,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/acare/11185/,1700mAh,,,,,,нет данных в бэкапе,,,
11186,Аккумулятор для Aeonmed A100p 2600mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aeonmed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aeonmed/11186/,2600mAh,,,,,,нет данных в бэкапе,,,
11187,Аккумулятор для Aeonmed shangrila 510 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aeonmed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aeonmed/11187/,2000mAh,,,,,,нет данных в бэкапе,,,
11188,Аккумулятор для Aeonmed Solo 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aeonmed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aeonmed/11188/,2000mAh,,,,,,нет данных в бэкапе,,,
11189,"Аккумулятор для Agilent 43100, 43130 (43120A) (2500mAh, 12V)",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/agilent,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/agilent/11189/,2500mAh,12V,,,,,нет данных в бэкапе,,,
11190,"Аккумулятор для Ahram Biosystems UF12-A, Palm PCR G1-12 (P2010) 1700mah",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ahram-biosystems,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ahram-biosystems/11190/,1700mah,,,,,,нет данных в бэкапе,,,
11191,Аккумулятор для Air shields-Vickers JM102 Jaundice Mete (OM11158) 800mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/air-shields-vickers,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/air-shields-vickers/11191/,800mAh,,,,,,нет данных в бэкапе,,,
11192,Аккумулятор для Air shields-Vickers JM103 Jaundice Meter 800mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/air-shields-vickers,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/air-shields-vickers/11192/,800mah,,,,,,нет данных в бэкапе,,,
11193,Аккумулятор для Alaris Medical Systems III Infusion Pump (NIAL9163) 3000mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/alaris,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/alaris/11193/,3000mah,,,,,,нет данных в бэкапе,,,
11195,Аккумулятор для Alaris Medical systems Carefusion 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/alaris,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/alaris/11195/,2000mAh,,,,,,нет данных в бэкапе,,,
11196,Аккумулятор для Alaris Medica lsystems Infusion pump 531 (125-00-444900968) 1800mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/alaris,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/alaris/11196/,1800mAh,,,,,,нет данных в бэкапе,,,
11197,Аккумулятор для Alaris Medical systems Signature 2 3000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/alaris,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/alaris/11197/,3000mAh,,,,,,нет данных в бэкапе,,,
11198,Аккумулятор для American Diagnostic ADC E-Sphyg 2 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/american-diagnostic-corporation,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/american-diagnostic-corporation/11198/,2000mAh,,,,,,нет данных в бэкапе,,,
11199,"Аккумулятор для Amico GoLift 700, EL1700-L2T6X (EL1700-L2T6X) 2000mAh",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/amico,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/amico/11199/,2000mAh,,,,,,нет данных в бэкапе,,,
11200,Аккумулятор для AMPall SP-8800 Syringe Pump 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ampall,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ampall/11200/,2000mAh,,,,,,нет данных в бэкапе,,,
11201,"Аккумулятор для Angel AJ5800, AJ5811 2000mAh",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/angel,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/angel/11201/,2000mAh,,,,,,нет данных в бэкапе,,,
11202,Аккумулятор для Angel AJ5803 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/angel,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/angel/11202/,2000mAh,,,,,,нет данных в бэкапе,,,
11203,"Аккумулятор для Angel AJ5808, AJ5808A 2000mAh",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/angel,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/angel/11203/,2000mAh,,,,,,нет данных в бэкапе,,,
11204,Аккумулятор для Annol SP-1000 2000mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/annol,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/annol/11204/,2000mah,,,,,,нет данных в бэкапе,,,
11205,"Аккумулятор для AOLI ECG-8901, ECG-8903 2600mah",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aoli,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/aoli/11205/,2600mah,,,,,,нет данных в бэкапе,,,
11206,Аккумулятор для ARCOMED AG SYRAMED SP6000 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/arcomed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/arcomed/11206/,2000mAh,,,,,,нет данных в бэкапе,,,
11207,"Аккумулятор для Asena Syringe Pump (2500mAh, 7.2V)",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/asena,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/asena/11207/,2500mAh,7.2V,,,,,нет данных в бэкапе,,,
11208,Аккумулятор для Atmos Emergency Suction 6800mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/atmos,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/atmos/11208/,6800mAh,,,,,,нет данных в бэкапе,,,
11209,Аккумулятор для Atmos Pump Wound S041 2500mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/atmos,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/atmos/11209/,2500mAh,,,,,,нет данных в бэкапе,,,
11210,Аккумулятор для ATYS Moniteur Systolique Systoe 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/atys,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/atys/11210/,2000mAh,,,,,,нет данных в бэкапе,,,
11211,Аккумулятор для B.Braun Casmed 3/N600AAK 1500mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun/11211/,1500mah,,,,,,нет данных в бэкапе,,,
11212,Аккумулятор для B.Braun infusion pump Infusomat Secura Dropma (110011) 7000mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun/11212/,7000mah,,,,,,нет данных в бэкапе,,,
11213,"Аккумулятор для B.Braun Infusomat fmS, Infusomat P (MB1125P) 3000mah",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun/11213/,3000mah,,,,,,нет данных в бэкапе,,,
11214,Аккумулятор для B.Braun Infusoport 2000mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun/11214/,2000mah,,,,,,нет данных в бэкапе,,,
11215,Аккумулятор для B.Braun Perfusor compact 1500mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/b-braun/11215/,1500mah,,,,,,нет данных в бэкапе,,,
11216,"Аккумулятор для BCI Capnocheck plus, BCI Sleeo CO2 Monitor (58522B1) 5000mAh",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bci,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bci/11216/,5000mAh,,,,,,нет данных в бэкапе,,,
11217,"Аккумулятор для Bellavista 950, 1000 6400mAh",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bellavista,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bellavista/11217/,6400mAh,,,,,,нет данных в бэкапе,,,
